batch_id,crop_type,variety,origin_region,harvest_datetime,harvest_weight_kg,initial_quality_score,harvest_temperature_c,harvest_conditions,field_precooled
BAT-000024,strawberries,Clery,North,2024-05-20 12:45:00,2606.2,99.0,23.1,Optimal Dry,False
BAT-000025,apples,Golden Delicious,North,2024-10-20 14:30:00,14325.6,86.6,9.6,Optimal Dry,True
BAT-000026,tomatoes,Bobcat,Centre,2024-09-08 14:45:00,6345.3,92.2,25.2,Optimal Dry,False
BAT-000027,tomatoes,Primadonna,Centre,2024-10-08 09:30:00,6860.8,86.5,14.7,Optimal Dry,False
BAT-000028,strawberries,Clery,Centre,2024-06-02 14:15:00,2300.9,99.0,29.5,Hot / Sun-Exposed,False
BAT-000029,apples,Idared,North,2024-09-04 08:30:00,14711.6,88.5,19.4,Optimal Dry,False
BAT-000030,apples,Fuji,North,2024-10-18 12:45:00,10658.1,83.5,10.3,Optimal Dry,True
BAT-000031,table_grapes,Victoria,Centre,2024-10-01 14:30:00,7479.1,89.9,15.0,Optimal Dry,False
BAT-000032,table_grapes,Codreanca,Centre,2024-10-03 08:15:00,6580.2,90.2,10.7,Humid,True
BAT-000033,apples,Granny Smith,North,2024-10-25 06:30:00,4943.8,85.2,2.4,Humid,True
BAT-000034,plums,Anna Späth,South,2024-08-11 08:15:00,4390.0,90.7,22.0,Optimal Dry,False
BAT-000035,apples,Idared,North,2024-09-06 11:30:00,6770.9,84.8,26.4,Optimal Dry,False
BAT-000036,plums,Kabardinka,Centre,2024-09-27 07:45:00,9744.3,92.6,17.2,Humid,False
BAT-000037,apricots,Kioto,Centre,2024-07-20 08:45:00,5767.8,91.6,24.9,Optimal Dry,False
BAT-000038,apples,Idared,North,2024-10-02 08:30:00,14318.2,85.5,8.5,Humid,False
BAT-000039,table_grapes,Victoria,Centre,2024-09-30 08:30:00,3444.1,95.5,12.2,Optimal Dry,True
BAT-000040,strawberries,Clery,North,2024-06-10 09:30:00,1542.3,88.5,24.7,Optimal Dry,True
BAT-000041,apricots,Spring Blush,North,2024-07-02 09:00:00,5922.7,86.7,26.3,Optimal Dry,True
BAT-000042,plums,Stanley,Centre,2024-08-22 07:15:00,3299.5,94.0,22.2,Optimal Dry,False
BAT-000043,plums,President,Centre,2024-08-10 13:45:00,5633.9,96.9,28.1,Hot / Sun-Exposed,True
BAT-000044,plums,Kabardinka,South,2024-08-01 14:00:00,4543.5,90.7,31.9,Hot / Sun-Exposed,True
BAT-000045,plums,Anna Späth,North,2024-10-10 10:45:00,8147.7,86.3,15.8,Humid,False
BAT-000046,plums,Kabardinka,Centre,2024-08-26 11:00:00,9620.2,93.1,31.4,Hot / Sun-Exposed,False
BAT-000047,plums,Stanley,South,2024-08-16 12:45:00,6780.8,99.0,30.8,Hot / Sun-Exposed,False
BAT-000048,apples,Gala,North,2024-09-01 07:00:00,10650.3,88.0,20.8,Optimal Dry,False
BAT-000049,apricots,Nadejda,North,2024-06-25 09:45:00,3498.5,92.1,21.9,Optimal Dry,False
BAT-000050,apples,Idared,North,2024-08-27 13:45:00,6894.3,88.7,33.4,Hot / Sun-Exposed,False
BAT-000051,apples,Golden Delicious,North,2024-10-17 14:00:00,11687.2,86.5,10.5,Optimal Dry,False
BAT-000052,apples,Idared,North,2024-09-26 13:45:00,9447.6,90.8,23.8,Optimal Dry,False
BAT-000053,plums,President,South,2024-09-14 13:15:00,9460.0,96.1,23.4,Post-Rain,True
BAT-000054,tomatoes,Bobcat,Centre,2024-09-16 09:30:00,6792.9,87.6,17.8,Post-Rain,True
BAT-000055,table_grapes,Muscat de Hamburg,South,2024-10-07 06:45:00,5029.7,95.0,12.8,Humid,False
BAT-000056,tomatoes,Cherry,Centre,2024-09-28 09:45:00,6806.8,94.0,20.1,Optimal Dry,True
BAT-000057,apples,Granny Smith,North,2024-09-18 09:15:00,8775.0,84.4,16.9,Optimal Dry,True
BAT-000058,table_grapes,Victoria,Centre,2024-09-05 09:15:00,4113.9,87.6,17.6,Post-Rain,True
BAT-000059,apples,Granny Smith,North,2024-08-21 13:00:00,13434.3,97.0,33.7,Hot / Sun-Exposed,False
BAT-000060,apples,Idared,North,2024-08-26 12:00:00,9204.3,94.0,33.1,Hot / Sun-Exposed,True
BAT-000061,apples,Idared,North,2024-09-09 13:30:00,7729.4,82.6,26.5,Optimal Dry,False
BAT-000062,table_grapes,Victoria,South,2024-10-24 09:00:00,7322.3,95.1,8.2,Humid,True
BAT-000063,apples,Idared,North,2024-09-24 13:00:00,8005.7,93.5,25.1,Optimal Dry,False
BAT-000064,pears,Ksenia,North,2024-09-02 07:15:00,11196.9,90.9,21.8,Optimal Dry,False
BAT-000065,apples,Golden Delicious,North,2024-08-23 12:30:00,8675.4,94.8,24.5,Optimal Dry,False
BAT-000066,apples,Gala,North,2024-08-27 06:45:00,8243.7,87.1,21.7,Optimal Dry,False
BAT-000067,apples,Golden Delicious,North,2024-10-03 12:15:00,9744.1,86.8,18.6,Optimal Dry,True
BAT-000068,apples,Granny Smith,North,2024-10-17 13:00:00,7953.1,95.9,9.6,Optimal Dry,True
BAT-000069,apples,Idared,Centre,2024-08-25 14:15:00,14762.2,94.9,32.4,Hot / Sun-Exposed,False
BAT-000070,apples,Granny Smith,North,2024-09-05 06:00:00,14125.7,95.7,17.8,Optimal Dry,True
BAT-000071,apples,Idared,North,2024-09-24 13:30:00,7524.2,97.7,25.6,Optimal Dry,True
BAT-000072,plums,Kabardinka,South,2024-09-23 13:00:00,8473.5,90.0,24.0,Optimal Dry,False
BAT-000073,plums,Stanley,Centre,2024-08-05 07:45:00,5686.0,92.5,19.4,Optimal Dry,False
BAT-000074,strawberries,Alba,Centre,2024-05-22 07:30:00,1632.9,85.0,16.5,Optimal Dry,False
BAT-000075,plums,President,North,2024-09-26 10:15:00,5712.0,97.0,19.3,Optimal Dry,True
BAT-000076,plums,President,Centre,2024-08-06 07:00:00,3194.8,88.1,18.8,Optimal Dry,True
BAT-000077,strawberries,Clery,Centre,2024-05-26 10:45:00,2107.7,95.3,23.3,Optimal Dry,True
BAT-000078,plums,President,Centre,2024-09-30 06:15:00,5028.5,89.5,12.1,Optimal Dry,False
BAT-000079,apples,Gala,North,2024-08-28 12:30:00,6170.2,93.0,28.9,Hot / Sun-Exposed,False
BAT-000080,apples,Granny Smith,North,2024-09-17 10:45:00,13936.2,88.2,21.1,Optimal Dry,False
BAT-000081,apples,Golden Delicious,Centre,2024-10-10 13:00:00,6744.2,93.6,18.6,Optimal Dry,True
BAT-000082,apples,Golden Delicious,North,2024-09-29 13:00:00,7394.9,94.5,19.0,Optimal Dry,False
BAT-000083,plums,President,Centre,2024-08-16 07:45:00,3585.6,89.9,21.8,Optimal Dry,False
BAT-000084,tomatoes,Bobcat,North,2024-07-07 14:45:00,2688.1,91.3,30.7,Hot / Sun-Exposed,False
BAT-000085,plums,Kabardinka,North,2024-10-04 13:00:00,8954.6,90.6,21.6,Optimal Dry,True
BAT-000086,tomatoes,Primadonna,Centre,2024-07-15 10:45:00,2808.3,90.4,34.3,Hot / Sun-Exposed,True
BAT-000087,apricots,Kioto,Centre,2024-07-01 12:30:00,2652.4,89.7,31.4,Hot / Sun-Exposed,False
BAT-000088,plums,Anna Späth,South,2024-09-05 14:00:00,4925.8,94.8,24.1,Optimal Dry,False
BAT-000089,apples,Fuji,North,2024-10-02 10:30:00,5198.9,87.9,11.5,Optimal Dry,True
BAT-000090,pears,Williams,Centre,2024-09-11 09:15:00,3193.5,89.9,19.2,Humid,False
BAT-000091,plums,Anna Späth,Centre,2024-10-09 10:30:00,7304.7,89.4,15.9,Optimal Dry,False
BAT-000092,strawberries,Marmolada,Centre,2024-06-19 08:45:00,1855.3,88.1,24.7,Optimal Dry,True
BAT-000093,tomatoes,Primadonna,South,2024-09-21 11:15:00,5967.8,94.5,19.0,Optimal Dry,True
BAT-000094,apples,Idared,Centre,2024-09-26 06:45:00,10397.7,91.5,15.7,Humid,True
BAT-000095,apples,Granny Smith,North,2024-10-16 06:45:00,12480.6,92.8,5.9,Humid,True
BAT-000096,apples,Golden Delicious,North,2024-09-07 07:45:00,11931.2,90.5,17.8,Optimal Dry,False
BAT-000097,strawberries,Asia,Centre,2024-06-14 14:30:00,2768.4,81.2,22.2,Optimal Dry,True
BAT-000098,apricots,Kioto,Centre,2024-07-28 13:00:00,2203.5,95.1,29.9,Hot / Sun-Exposed,True
BAT-000099,plums,Anna Späth,South,2024-08-25 07:00:00,7184.4,89.3,19.7,Optimal Dry,False
BAT-000100,apples,Fuji,North,2024-09-28 08:15:00,7646.7,81.1,17.3,Optimal Dry,False
BAT-000101,apples,Granny Smith,Centre,2024-09-18 11:30:00,11611.5,88.4,21.7,Optimal Dry,False
BAT-000102,apples,Golden Delicious,North,2024-08-22 06:45:00,11943.0,90.5,20.1,Optimal Dry,True
BAT-000103,apples,Fuji,North,2024-09-12 10:15:00,11783.6,91.0,20.7,Optimal Dry,False
BAT-000104,table_grapes,Muscat de Hamburg,South,2024-09-15 08:30:00,3046.2,86.5,14.6,Optimal Dry,True
BAT-000105,plums,President,Centre,2024-09-28 06:15:00,3850.4,91.9,16.6,Humid,True
BAT-000106,plums,Stanley,South,2024-09-08 06:45:00,2964.1,83.3,13.4,Optimal Dry,False
BAT-000107,tomatoes,Cherry,North,2024-08-19 12:00:00,6151.8,90.3,33.2,Hot / Sun-Exposed,False
BAT-000108,table_grapes,Muscat de Hamburg,South,2024-09-15 13:00:00,4365.2,91.6,17.8,Post-Rain,True
BAT-000109,plums,Kabardinka,North,2024-08-18 09:45:00,8676.6,93.0,27.6,Optimal Dry,False
BAT-000110,plums,Kabardinka,Centre,2024-08-11 10:15:00,5555.7,85.1,26.2,Optimal Dry,True
BAT-000111,pears,Abate Fetel,North,2024-08-16 10:15:00,5365.2,90.6,26.4,Optimal Dry,True
BAT-000112,apples,Golden Delicious,North,2024-10-12 14:15:00,10542.6,92.4,13.4,Optimal Dry,False
BAT-000113,pears,Abate Fetel,Centre,2024-09-02 11:00:00,6182.5,88.9,27.0,Optimal Dry,True
BAT-000114,apples,Idared,North,2024-08-20 14:15:00,4804.7,97.6,34.2,Hot / Sun-Exposed,True
BAT-000115,pears,Ksenia,North,2024-08-16 14:45:00,11088.0,90.8,33.2,Hot / Sun-Exposed,False
BAT-000116,table_grapes,Codreanca,Centre,2024-09-18 10:45:00,3455.3,85.8,21.1,Optimal Dry,True
BAT-000117,apples,Granny Smith,Centre,2024-10-23 06:45:00,12600.5,86.7,4.5,Humid,True
BAT-000118,strawberries,Asia,Centre,2024-05-25 10:45:00,2442.3,90.9,23.1,Optimal Dry,False
BAT-000119,apricots,Nadejda,North,2024-07-11 08:30:00,3490.9,88.5,26.1,Optimal Dry,False
BAT-000120,apples,Golden Delicious,Centre,2024-10-07 12:30:00,6616.8,99.0,14.3,Optimal Dry,False
BAT-000121,table_grapes,Muscat de Hamburg,South,2024-09-19 08:15:00,7262.2,97.9,14.1,Optimal Dry,False
BAT-000122,table_grapes,Codreanca,Centre,2024-10-15 13:45:00,4366.0,99.0,14.0,Optimal Dry,False
BAT-000123,table_grapes,Moldova,South,2024-10-14 14:45:00,3016.5,86.2,17.3,Optimal Dry,False
BAT-000124,strawberries,Clery,Centre,2024-06-06 08:45:00,1515.9,89.0,22.4,Optimal Dry,True
BAT-000125,table_grapes,Moldova,South,2024-10-18 13:45:00,3262.7,86.3,11.6,Optimal Dry,False
BAT-000126,plums,Anna Späth,Centre,2024-08-21 14:15:00,4228.0,87.5,34.3,Hot / Sun-Exposed,False
BAT-000127,apples,Idared,North,2024-09-12 13:45:00,6093.2,93.5,20.1,Post-Rain,True
BAT-000128,apples,Golden Delicious,North,2024-08-27 14:45:00,8183.5,99.0,33.7,Hot / Sun-Exposed,False
BAT-000129,plums,Anna Späth,North,2024-08-05 10:15:00,5260.5,96.1,22.8,Optimal Dry,True
BAT-000130,table_grapes,Victoria,Centre,2024-09-09 14:15:00,4836.2,89.6,25.5,Optimal Dry,True
BAT-000131,raspberries,Novokitaevskaya,North,2024-07-20 11:00:00,1567.5,88.5,27.3,Optimal Dry,False
BAT-000132,table_grapes,Moldova,Centre,2024-09-28 13:00:00,3655.8,97.5,24.2,Optimal Dry,False
BAT-000133,plums,President,North,2024-09-15 07:45:00,9301.2,91.0,15.7,Humid,True
BAT-000134,tomatoes,Rio Grande,South,2024-07-09 10:00:00,3013.6,89.9,28.6,Hot / Sun-Exposed,True
BAT-000135,apples,Golden Delicious,North,2024-09-21 12:30:00,11541.6,90.6,21.2,Optimal Dry,False
BAT-000136,plums,President,South,2024-09-04 13:45:00,7997.1,92.3,23.9,Optimal Dry,True
BAT-000137,table_grapes,Victoria,Centre,2024-10-02 11:45:00,3330.3,95.9,16.3,Optimal Dry,False
BAT-000138,raspberries,Novokitaevskaya,North,2024-07-30 07:15:00,2271.0,93.9,17.6,Optimal Dry,False
BAT-000139,apples,Fuji,North,2024-09-12 11:30:00,5747.1,84.0,23.1,Optimal Dry,True
BAT-000140,plums,Kabardinka,South,2024-08-09 06:45:00,8062.2,87.8,20.1,Optimal Dry,True
BAT-000141,apples,Fuji,North,2024-10-08 09:30:00,10154.9,89.3,13.3,Optimal Dry,True
BAT-000142,plums,Kabardinka,North,2024-10-09 13:00:00,5199.9,94.3,19.5,Optimal Dry,False
BAT-000143,plums,Stanley,Centre,2024-10-09 12:30:00,7255.0,88.7,19.2,Optimal Dry,False
BAT-000144,apricots,Kioto,Centre,2024-07-26 14:45:00,4385.6,84.9,20.7,Optimal Dry,True
BAT-000145,tomatoes,Primadonna,Centre,2024-09-25 14:00:00,5735.4,94.3,23.7,Optimal Dry,True
BAT-000146,plums,Anna Späth,North,2024-09-06 11:45:00,6213.0,88.8,26.4,Optimal Dry,False
BAT-000147,apples,Golden Delicious,North,2024-09-08 14:00:00,5011.9,93.5,25.5,Optimal Dry,False
BAT-000148,apples,Jonagold,North,2024-09-09 10:30:00,9710.1,89.2,20.9,Optimal Dry,False
BAT-000149,apples,Gala,North,2024-09-14 07:00:00,4718.2,91.5,18.8,Post-Rain,True
BAT-000150,tomatoes,Cherry,North,2024-07-10 12:45:00,3415.2,87.3,33.0,Hot / Sun-Exposed,True
BAT-000151,plums,Stanley,Centre,2024-10-08 14:00:00,6719.8,92.9,19.7,Optimal Dry,False
BAT-000152,apples,Fuji,North,2024-09-24 06:30:00,4051.0,89.4,12.1,Humid,False
BAT-000153,pears,Ksenia,South,2024-09-25 14:15:00,8701.1,86.5,23.8,Optimal Dry,True
BAT-000154,apples,Fuji,North,2024-10-11 13:45:00,6630.9,90.5,24.1,Optimal Dry,False
BAT-000155,pears,Ksenia,South,2024-09-28 10:15:00,3884.3,85.5,20.8,Optimal Dry,False
BAT-000156,apples,Golden Delicious,North,2024-10-20 12:00:00,12101.7,85.4,8.2,Optimal Dry,False
BAT-000157,tomatoes,Bobcat,Centre,2024-07-03 12:15:00,6969.9,99.0,27.3,Optimal Dry,True
BAT-000158,apples,Granny Smith,North,2024-10-01 11:15:00,11683.9,78.8,10.3,Humid,False
BAT-000159,table_grapes,Muscat de Hamburg,South,2024-09-09 11:15:00,6251.6,83.8,22.2,Optimal Dry,True
BAT-000160,plums,President,South,2024-08-25 09:15:00,7321.0,96.6,23.9,Optimal Dry,False
BAT-000161,apples,Idared,North,2024-09-16 11:30:00,14687.1,95.5,19.3,Optimal Dry,False
BAT-000162,plums,Anna Späth,Centre,2024-08-07 12:00:00,4506.0,95.9,25.4,Optimal Dry,True
BAT-000163,plums,Kabardinka,Centre,2024-09-30 06:45:00,4709.7,89.9,11.7,Optimal Dry,False
BAT-000164,table_grapes,Codreanca,South,2024-09-20 11:15:00,5865.4,82.4,17.2,Optimal Dry,True
BAT-000165,plums,Kabardinka,North,2024-10-07 09:30:00,9754.3,89.9,12.5,Optimal Dry,True
BAT-000166,table_grapes,Muscat de Hamburg,Centre,2024-10-03 09:45:00,7558.1,92.8,15.4,Optimal Dry,False
BAT-000167,apples,Jonagold,North,2024-08-25 11:15:00,9483.7,85.6,27.9,Optimal Dry,True
BAT-000168,table_grapes,Victoria,South,2024-10-20 13:30:00,7426.6,92.5,10.0,Optimal Dry,False
BAT-000169,table_grapes,Victoria,South,2024-09-10 14:15:00,5532.4,99.0,25.1,Optimal Dry,False
BAT-000170,apples,Granny Smith,North,2024-10-10 13:45:00,8965.6,82.5,19.4,Optimal Dry,False
BAT-000171,apples,Granny Smith,North,2024-10-19 14:15:00,14893.1,91.7,10.6,Optimal Dry,False
BAT-000172,table_grapes,Victoria,Centre,2024-09-24 08:00:00,5925.4,98.0,14.3,Optimal Dry,False
BAT-000173,apples,Granny Smith,Centre,2024-10-24 08:30:00,6628.5,93.8,6.0,Humid,True
BAT-000174,apples,Idared,Centre,2024-10-20 08:15:00,5202.9,92.1,1.8,Humid,False
BAT-000175,pears,Williams,South,2024-08-16 11:30:00,6297.8,90.1,29.7,Hot / Sun-Exposed,True
BAT-000176,strawberries,Marmolada,Centre,2024-05-31 14:15:00,1092.8,85.7,26.4,Optimal Dry,True
BAT-000177,plums,Kabardinka,Centre,2024-08-25 08:45:00,5784.2,91.8,24.1,Optimal Dry,False
BAT-000178,pears,Conference,Centre,2024-09-04 08:15:00,10410.3,88.0,19.3,Optimal Dry,True
BAT-000179,apples,Idared,Centre,2024-09-27 09:30:00,9123.6,99.0,20.7,Optimal Dry,True
BAT-000180,tomatoes,Cherry,Centre,2024-07-02 11:00:00,5429.7,86.2,31.0,Hot / Sun-Exposed,True
BAT-000181,plums,President,South,2024-08-10 09:15:00,5009.1,84.4,23.5,Optimal Dry,True
BAT-000182,plums,Kabardinka,Centre,2024-10-06 06:45:00,9543.5,92.8,17.8,Humid,False
BAT-000183,apples,Idared,North,2024-09-18 11:00:00,13296.4,89.0,20.2,Optimal Dry,False
BAT-000184,plums,Kabardinka,Centre,2024-09-01 12:45:00,4838.5,86.5,30.1,Hot / Sun-Exposed,True
BAT-000185,strawberries,Clery,Centre,2024-06-24 08:00:00,1482.7,85.1,22.2,Optimal Dry,True
BAT-000186,plums,Anna Späth,North,2024-08-12 10:30:00,7174.7,97.3,23.0,Optimal Dry,False
BAT-000187,strawberries,Clery,North,2024-06-21 07:15:00,1632.0,88.1,16.0,Optimal Dry,False
BAT-000188,apples,Fuji,North,2024-09-11 11:00:00,13228.4,99.0,24.1,Optimal Dry,True
BAT-000189,plums,Anna Späth,Centre,2024-09-29 11:45:00,8789.6,85.2,19.6,Optimal Dry,False
BAT-000190,table_grapes,Codreanca,South,2024-10-25 07:30:00,6413.8,94.6,3.7,Humid,False
BAT-000191,apples,Granny Smith,North,2024-08-28 07:45:00,5999.7,90.6,22.9,Optimal Dry,True
BAT-000192,apples,Granny Smith,North,2024-10-18 07:45:00,12997.2,84.6,1.1,Humid,False
BAT-000193,apples,Jonagold,North,2024-09-19 11:15:00,5090.9,90.9,17.9,Optimal Dry,False
BAT-000194,apples,Jonagold,North,2024-09-09 07:15:00,8132.9,95.5,12.5,Optimal Dry,True
BAT-000195,tomatoes,Primadonna,South,2024-09-07 14:45:00,2009.1,87.8,25.5,Optimal Dry,True
BAT-000196,apples,Jonagold,North,2024-08-25 07:15:00,12030.2,90.1,18.3,Optimal Dry,False
BAT-000197,plums,Kabardinka,North,2024-09-19 07:15:00,9780.1,97.9,13.2,Optimal Dry,False
BAT-000198,pears,Conference,North,2024-09-04 08:45:00,9080.6,85.8,20.7,Optimal Dry,True
BAT-000199,apples,Granny Smith,North,2024-10-01 07:45:00,6658.1,86.9,9.2,Post-Rain,False
BAT-000200,table_grapes,Codreanca,South,2024-09-22 14:15:00,5498.8,99.0,23.5,Optimal Dry,True
BAT-000201,apples,Granny Smith,North,2024-08-30 07:00:00,14121.3,83.4,21.5,Optimal Dry,False
BAT-000202,tomatoes,Bobcat,Centre,2024-09-17 08:15:00,6977.4,92.0,18.4,Optimal Dry,False
BAT-000203,table_grapes,Victoria,Centre,2024-09-03 13:45:00,7670.6,92.8,29.6,Hot / Sun-Exposed,True
BAT-000204,plums,Anna Späth,South,2024-08-29 10:30:00,3238.3,89.4,22.7,Optimal Dry,False
BAT-000205,apples,Idared,North,2024-09-18 06:00:00,11882.0,93.0,15.6,Optimal Dry,False
BAT-000206,apples,Fuji,North,2024-08-20 14:15:00,9074.4,87.0,34.2,Hot / Sun-Exposed,True
BAT-000207,apples,Granny Smith,North,2024-09-04 14:45:00,13306.3,90.0,22.6,Optimal Dry,True
BAT-000208,tomatoes,Cherry,North,2024-08-28 13:15:00,6041.9,96.2,29.6,Hot / Sun-Exposed,False
BAT-000209,plums,Stanley,North,2024-09-20 11:30:00,7928.8,92.2,19.4,Optimal Dry,False
BAT-000210,apples,Granny Smith,North,2024-09-12 12:00:00,13198.1,95.9,23.1,Optimal Dry,False
BAT-000211,apples,Granny Smith,North,2024-10-14 13:45:00,12164.8,94.6,15.4,Optimal Dry,True
BAT-000212,table_grapes,Muscat de Hamburg,South,2024-10-18 13:15:00,7134.5,83.1,11.1,Optimal Dry,True
BAT-000213,apples,Gala,North,2024-10-21 12:30:00,14039.7,96.5,11.2,Optimal Dry,False
BAT-000214,plums,Kabardinka,North,2024-10-05 09:15:00,5315.7,82.9,16.7,Humid,False
BAT-000215,apples,Granny Smith,Centre,2024-10-15 06:30:00,9510.6,92.0,5.5,Humid,True
BAT-000216,table_grapes,Codreanca,Centre,2024-10-05 06:30:00,7437.6,94.0,16.5,Humid,False
BAT-000217,tomatoes,Primadonna,Centre,2024-09-14 12:45:00,3328.9,86.5,25.2,Optimal Dry,False
BAT-000218,apples,Fuji,North,2024-10-11 12:45:00,14401.7,82.0,23.1,Optimal Dry,False
BAT-000219,table_grapes,Muscat de Hamburg,Centre,2024-10-22 14:15:00,7365.8,85.5,17.0,Optimal Dry,True
BAT-000220,apples,Jonagold,North,2024-08-26 06:30:00,13175.7,91.2,22.2,Optimal Dry,False
BAT-000221,pears,Ksenia,North,2024-08-21 09:00:00,10887.3,89.0,25.3,Optimal Dry,False
BAT-000222,table_grapes,Victoria,South,2024-09-03 07:15:00,6545.3,95.7,20.5,Optimal Dry,False
BAT-000223,table_grapes,Moldova,Centre,2024-10-01 07:45:00,3017.8,91.9,10.6,Humid,False
BAT-000224,table_grapes,Moldova,South,2024-09-17 14:00:00,5653.5,90.9,21.4,Optimal Dry,True
BAT-000225,table_grapes,Muscat de Hamburg,Centre,2024-10-11 14:15:00,5258.2,87.7,24.5,Optimal Dry,False
BAT-000226,tomatoes,Rio Grande,North,2024-08-08 09:15:00,5614.2,91.1,22.7,Optimal Dry,True
BAT-000227,tomatoes,Primadonna,North,2024-08-21 08:00:00,4279.8,85.6,22.0,Optimal Dry,True
BAT-000228,plums,Anna Späth,Centre,2024-09-24 14:30:00,6892.5,85.6,25.5,Optimal Dry,True
BAT-000229,plums,President,Centre,2024-09-16 10:00:00,9860.0,90.7,17.8,Post-Rain,False
BAT-000230,apples,Fuji,Centre,2024-08-30 08:30:00,4638.0,95.0,23.0,Optimal Dry,False
BAT-000231,plums,Anna Späth,Centre,2024-09-15 14:00:00,5393.1,89.3,18.1,Post-Rain,False
BAT-000232,table_grapes,Codreanca,South,2024-10-01 14:45:00,3122.5,91.3,14.0,Optimal Dry,True
BAT-000233,apples,Idared,North,2024-08-28 06:15:00,14284.6,93.2,20.7,Optimal Dry,False
BAT-000234,apricots,Nadejda,North,2024-06-24 09:15:00,4518.2,90.3,22.6,Optimal Dry,False
BAT-000235,pears,Conference,South,2024-09-08 10:45:00,3943.9,94.3,21.9,Optimal Dry,False
BAT-000236,apples,Jonagold,North,2024-08-29 14:30:00,4244.2,99.0,29.5,Hot / Sun-Exposed,False
BAT-000237,raspberries,Novokitaevskaya,North,2024-06-20 07:30:00,1566.9,87.0,24.7,Optimal Dry,False
BAT-000238,apples,Idared,North,2024-09-28 07:15:00,11926.5,88.0,16.7,Optimal Dry,False
BAT-000239,plums,Kabardinka,South,2024-09-10 12:30:00,5968.1,86.5,23.2,Optimal Dry,False
BAT-000240,apples,Gala,North,2024-08-25 10:30:00,12934.3,93.4,25.6,Optimal Dry,True
BAT-000241,plums,Anna Späth,Centre,2024-09-10 13:00:00,9403.6,92.7,25.3,Optimal Dry,True
BAT-000242,apples,Jonagold,North,2024-09-15 14:15:00,4087.2,88.5,17.2,Optimal Dry,False
BAT-000243,apples,Fuji,North,2024-08-26 11:15:00,10558.5,88.9,31.3,Hot / Sun-Exposed,True
BAT-000244,table_grapes,Moldova,South,2024-10-04 13:00:00,5328.7,98.4,23.0,Optimal Dry,True
BAT-000245,apples,Idared,North,2024-09-11 08:15:00,11639.0,81.2,19.5,Optimal Dry,False
BAT-000246,tomatoes,Primadonna,Centre,2024-07-07 07:15:00,2187.7,91.1,19.4,Optimal Dry,False
BAT-000247,apples,Idared,North,2024-09-19 10:00:00,14462.8,88.7,16.3,Optimal Dry,False
BAT-000248,table_grapes,Codreanca,South,2024-09-11 07:30:00,6613.1,95.3,18.8,Humid,True
BAT-000249,table_grapes,Muscat de Hamburg,Centre,2024-10-20 10:30:00,5975.5,95.0,5.9,Optimal Dry,False
