batch_id,quality_status,loss_fraction_pct,quality_score,economic_loss_eur
BAT-000133,optimal,3.74,92.4,260.9
BAT-000134,lost,86.26,5.0,2209.6
BAT-000135,optimal,3.06,95.2,229.56
BAT-000136,severe_degradation,23.83,57.9,1429.28
BAT-000137,severe_degradation,22.63,60.6,942.06
BAT-000138,optimal,2.9,95.5,204.16
BAT-000139,degraded,12.93,77.6,483.02
BAT-000140,degraded,11.98,78.1,724.39
BAT-000141,degraded,8.96,84.3,591.42
BAT-000142,severe_degradation,18.02,68.6,702.77
BAT-000143,degraded,6.99,86.4,380.34
BAT-000144,degraded,9.93,82.3,479.04
BAT-000145,severe_degradation,16.82,71.6,819.99
BAT-000146,lost,55.5,5.0,2586.16
BAT-000147,lost,43.03,25.4,1401.8
BAT-000148,optimal,3.68,92.0,232.27
BAT-000149,optimal,4.7,91.9,144.14
BAT-000150,severe_degradation,24.27,56.9,704.54
BAT-000151,severe_degradation,26.7,53.7,1345.64
BAT-000152,optimal,0.93,97.4,24.49
BAT-000153,degraded,6.61,86.8,546.39
BAT-000154,lost,41.68,30.0,1796.44
BAT-000155,degraded,7.84,86.9,289.3
BAT-000156,optimal,1.92,96.9,151.03
BAT-000157,severe_degradation,16.25,72.7,962.72
BAT-000158,degraded,7.33,86.4,556.68
BAT-000159,degraded,13.93,75.3,1088.56
BAT-000160,degraded,5.79,88.2,317.91
BAT-000161,degraded,11.29,79.7,1077.81
BAT-000162,severe_degradation,17.97,68.0,607.3
BAT-000163,degraded,5.99,90.1,211.58
BAT-000164,lost,57.53,5.0,4217.96
BAT-000165,severe_degradation,24.86,58.6,1818.69
BAT-000166,severe_degradation,18.32,66.6,1730.8
BAT-000167,degraded,13.27,77.0,818.02
BAT-000168,lost,42.8,26.5,3973.23
BAT-000169,degraded,13.85,76.9,957.8
BAT-000170,optimal,4.55,93.2,265.16
BAT-000171,optimal,2.15,95.8,208.13
BAT-000172,optimal,4.89,92.0,362.19
BAT-000173,optimal,3.3,93.2,142.18
BAT-000174,optimal,3.65,92.7,123.44
BAT-000175,degraded,5.71,90.4,341.62
BAT-000176,severe_degradation,27.73,52.6,727.28
BAT-000177,optimal,1.94,95.5,84.16
BAT-000178,severe_degradation,16.9,69.8,1671.37
BAT-000179,degraded,11.92,78.4,706.9
BAT-000180,degraded,6.39,87.4,294.91
BAT-000181,severe_degradation,16.95,70.5,636.78
BAT-000182,degraded,5.26,91.2,376.49
BAT-000183,optimal,2.13,96.4,184.09
BAT-000184,optimal,1.44,98.5,52.26
BAT-000185,severe_degradation,19.97,66.2,710.63
BAT-000186,optimal,3.51,93.6,188.87
BAT-000187,degraded,9.82,82.1,384.63
BAT-000188,lost,38.2,34.8,3284.61
BAT-000189,optimal,3.05,94.4,201.06
BAT-000190,optimal,4.03,93.9,323.1
BAT-000191,degraded,13.3,78.4,518.67
BAT-000192,optimal,2.63,95.4,222.19
BAT-000193,optimal,1.74,95.8,57.58
BAT-000194,severe_degradation,15.81,70.7,835.78
BAT-000195,lost,80.71,5.0,1378.31
BAT-000196,degraded,6.12,89.0,478.56
BAT-000197,optimal,3.29,94.9,241.32
BAT-000198,optimal,3.75,92.2,323.5
BAT-000199,degraded,14.9,73.2,644.84
BAT-000200,degraded,6.59,87.9,452.96
BAT-000201,degraded,9.12,84.1,837.11
BAT-000202,severe_degradation,20.25,64.5,1200.98
BAT-000203,optimal,3.54,93.3,339.42
BAT-000204,severe_degradation,22.62,61.8,549.38
BAT-000205,degraded,11.72,79.9,905.17
BAT-000206,severe_degradation,19.16,67.3,1130.13
BAT-000207,optimal,1.26,98.5,108.98
BAT-000208,degraded,9.04,84.5,464.26
BAT-000209,severe_degradation,16.62,72.0,988.32
BAT-000210,optimal,1.81,95.4,155.28
BAT-000211,degraded,8.58,86.8,678.43
BAT-000212,severe_degradation,22.73,62.4,2027.09
BAT-000213,severe_degradation,18.91,68.1,1725.69
BAT-000214,optimal,1.35,97.2,53.82
BAT-000215,degraded,6.8,89.4,420.37
BAT-000216,degraded,13.84,75.6,1286.7
BAT-000217,severe_degradation,16.91,69.5,478.48
BAT-000218,severe_degradation,25.16,56.8,2355.25
BAT-000219,degraded,14.76,75.4,1358.99
BAT-000220,degraded,9.72,83.3,832.44
BAT-000221,degraded,6.53,90.7,675.39
BAT-000222,lost,74.35,5.0,6083.04
BAT-000223,severe_degradation,18.32,68.2,691.08
BAT-000224,degraded,14.39,73.4,1016.92
BAT-000225,severe_degradation,18.38,68.8,1208.07
BAT-000226,optimal,3.53,92.7,168.45
BAT-000227,severe_degradation,18.54,68.2,674.45
BAT-000228,degraded,11.86,77.4,613.09
BAT-000229,severe_degradation,16.8,71.8,1242.36
BAT-000230,optimal,4.9,92.8,147.72
BAT-000231,severe_degradation,18.62,67.3,753.15
BAT-000232,severe_degradation,27.01,52.4,1054.23
BAT-000233,optimal,4.15,91.4,385.33
BAT-000234,degraded,13.29,78.1,660.52
BAT-000235,degraded,9.34,83.2,349.94
BAT-000236,degraded,10.9,81.2,300.7
BAT-000237,severe_degradation,21.91,60.7,1064.25
BAT-000238,optimal,2.94,93.6,227.92
BAT-000239,degraded,7.93,85.8,354.95
BAT-000240,severe_degradation,16.14,71.7,1356.94
BAT-000241,severe_degradation,19.49,66.8,1374.57
BAT-000242,degraded,7.89,83.8,209.61
BAT-000243,optimal,4.15,92.8,284.82
BAT-000244,severe_degradation,27.25,53.0,1815.09
BAT-000245,degraded,6.97,88.9,527.3
BAT-000246,lost,79.86,5.0,1485.03
BAT-000247,optimal,4.3,91.9,404.24
BAT-000248,optimal,3.03,94.6,250.47
BAT-000249,severe_degradation,17.41,68.7,1300.42
BAT-000250,degraded,7.4,86.8,476.04
BAT-000251,severe_degradation,16.23,73.4,492.29
BAT-000252,degraded,7.73,86.2,331.17
BAT-000253,degraded,12.62,77.5,575.51
BAT-000254,optimal,0.41,98.5,13.34
BAT-000255,degraded,12.0,78.2,850.63
BAT-000256,degraded,9.73,83.3,434.96
BAT-000257,severe_degradation,20.21,65.2,1682.13
BAT-000258,optimal,4.57,91.0,442.57
BAT-000259,optimal,4.85,91.0,449.34
BAT-000260,degraded,12.03,77.3,591.77
BAT-000261,degraded,8.1,86.7,664.74
BAT-000262,degraded,5.26,90.7,171.49
BAT-000263,degraded,6.14,90.3,325.59
BAT-000264,degraded,9.49,83.0,203.5
BAT-000265,severe_degradation,20.69,64.9,1239.12
BAT-000266,optimal,4.45,91.6,183.45
BAT-000267,degraded,8.39,84.9,457.43
BAT-000268,severe_degradation,15.75,71.6,1070.2
BAT-000269,optimal,3.69,93.3,199.08
BAT-000270,severe_degradation,15.23,72.6,461.65
BAT-000271,severe_degradation,18.96,66.8,899.2
BAT-000272,severe_degradation,31.88,44.9,2042.43
BAT-000273,severe_degradation,21.85,63.0,1119.0
BAT-000274,optimal,4.58,91.5,351.1
BAT-000275,optimal,2.51,96.7,97.11
BAT-000276,optimal,2.62,95.3,157.47
BAT-000277,degraded,5.1,92.0,110.46
BAT-000278,severe_degradation,33.6,42.3,1081.14
BAT-000279,optimal,2.21,95.2,194.17
BAT-000280,degraded,12.0,78.4,211.51
BAT-000281,optimal,4.77,90.5,394.31
BAT-000282,degraded,13.44,77.2,736.05
BAT-000283,degraded,5.48,91.7,520.2
BAT-000284,lost,74.63,5.0,3112.82
BAT-000285,optimal,3.61,92.7,96.15
BAT-000286,severe_degradation,18.7,68.1,624.98
BAT-000287,severe_degradation,20.74,62.7,1148.85
BAT-000288,degraded,6.04,89.3,509.87
BAT-000289,optimal,4.71,91.4,321.89
BAT-000290,degraded,5.95,88.4,239.36
BAT-000291,optimal,1.78,97.3,93.48
BAT-000292,degraded,12.17,79.9,325.11
BAT-000293,severe_degradation,15.31,73.3,1685.47
BAT-000294,degraded,9.7,83.0,755.33
BAT-000295,optimal,4.38,90.9,270.01
BAT-000296,optimal,1.97,94.9,158.65
BAT-000297,degraded,5.02,90.4,413.37
BAT-000298,optimal,3.64,94.2,180.21
BAT-000299,degraded,6.09,89.4,264.62
BAT-000300,severe_degradation,19.47,67.4,1936.75
BAT-000301,severe_degradation,28.17,49.9,929.5
BAT-000302,severe_degradation,21.33,63.6,1625.77
BAT-000303,degraded,14.0,75.5,528.21
BAT-000304,degraded,7.25,86.6,210.14
BAT-000305,severe_degradation,25.09,55.4,1039.23
BAT-000306,degraded,8.24,83.2,453.01
BAT-000307,degraded,6.87,89.1,293.21
BAT-000308,degraded,5.14,91.2,294.75
BAT-000309,severe_degradation,20.0,65.2,589.03
BAT-000310,severe_degradation,28.61,50.4,2188.02
BAT-000311,optimal,4.28,92.4,163.86
BAT-000312,degraded,9.18,83.8,889.68
BAT-000313,severe_degradation,16.61,73.5,732.57
BAT-000314,degraded,14.36,74.7,269.7
BAT-000315,degraded,7.13,86.7,420.13
BAT-000316,severe_degradation,32.02,44.0,1270.05
BAT-000317,degraded,9.73,82.8,610.57
BAT-000318,optimal,3.03,93.8,67.02
BAT-000319,optimal,3.01,94.5,107.82
BAT-000320,degraded,10.95,81.2,883.91
BAT-000321,optimal,2.54,95.3,61.07
BAT-000322,optimal,1.46,98.5,69.01
BAT-000323,optimal,2.51,95.2,104.92
BAT-000324,severe_degradation,20.47,66.2,1055.35
BAT-000325,severe_degradation,18.48,67.4,1175.17
BAT-000326,lost,38.65,33.5,2849.72
BAT-000327,degraded,12.22,80.6,526.62
BAT-000328,severe_degradation,34.0,43.3,788.74
BAT-000329,degraded,13.04,77.6,928.76
BAT-000330,degraded,9.3,83.9,481.13
BAT-000331,severe_degradation,17.25,68.7,616.44
BAT-000332,severe_degradation,19.73,66.4,870.12
BAT-000333,degraded,5.31,90.4,120.31
BAT-000334,optimal,1.12,98.5,38.32
BAT-000335,lost,56.64,5.0,3143.46
BAT-000336,degraded,11.45,80.2,560.09
BAT-000337,severe_degradation,22.25,63.2,1460.91
BAT-000338,degraded,6.58,88.6,237.87
BAT-000339,degraded,14.86,74.3,287.45
BAT-000340,degraded,5.09,91.9,215.13
BAT-000341,degraded,12.41,78.6,622.82
BAT-000342,degraded,13.54,75.0,1299.02
BAT-000343,severe_degradation,16.72,70.2,411.16
BAT-000344,severe_degradation,17.06,70.6,867.52
BAT-000345,degraded,8.07,84.5,659.67
BAT-000346,optimal,4.53,91.1,224.73
BAT-000347,optimal,4.52,90.7,275.87
BAT-000348,severe_degradation,15.41,74.0,674.95
BAT-000349,optimal,3.5,93.0,106.26
BAT-000350,optimal,3.55,94.8,87.81
BAT-000351,severe_degradation,18.54,69.2,723.87
BAT-000352,severe_degradation,19.24,67.1,610.31
BAT-000353,optimal,2.23,96.5,148.96
BAT-000354,degraded,8.53,85.1,726.36
BAT-000355,severe_degradation,17.89,69.6,1144.02
BAT-000356,severe_degradation,23.26,60.0,1718.65
BAT-000357,optimal,1.65,96.5,107.14
BAT-000358,optimal,4.19,92.6,182.52
BAT-000359,severe_degradation,22.71,60.4,1206.07
BAT-000360,degraded,6.93,88.5,245.62
BAT-000361,severe_degradation,18.23,68.6,753.19
BAT-000362,severe_degradation,16.27,70.7,1194.48
BAT-000363,severe_degradation,17.16,69.9,652.55
BAT-000364,lost,81.41,5.0,3504.94
BAT-000365,severe_degradation,20.54,63.0,1283.93
BAT-000366,optimal,3.72,93.8,354.59
BAT-000367,degraded,6.39,89.0,337.62
BAT-000368,degraded,14.34,75.2,814.56
BAT-000369,lost,69.26,5.0,4080.45
BAT-000370,optimal,1.35,97.8,107.46
BAT-000371,degraded,5.66,89.4,451.72
BAT-000372,degraded,14.61,72.9,594.08
BAT-000373,lost,94.69,5.0,3541.25
BAT-000374,degraded,13.67,77.0,320.67
BAT-000375,optimal,1.88,95.6,112.95
BAT-000376,severe_degradation,28.98,51.4,1281.11
BAT-000377,severe_degradation,26.81,53.1,1785.78
BAT-000378,optimal,1.76,97.8,165.66
BAT-000379,degraded,6.94,87.0,476.72
BAT-000380,optimal,1.64,97.5,84.95
BAT-000381,severe_degradation,19.97,65.1,1022.77
BAT-000382,lost,70.51,5.0,5606.96
BAT-000383,severe_degradation,18.03,69.7,1565.94
BAT-000384,optimal,1.88,96.0,150.58
BAT-000385,optimal,2.52,96.0,97.1
BAT-000386,severe_degradation,16.52,72.9,1116.91
BAT-000387,severe_degradation,20.28,64.6,1450.89
BAT-000388,optimal,3.41,95.1,72.31
BAT-000389,optimal,2.55,96.8,230.61
BAT-000390,severe_degradation,21.38,64.4,920.01
BAT-000391,degraded,13.82,76.8,1019.61
BAT-000392,severe_degradation,20.95,63.5,1654.29
BAT-000393,degraded,7.16,85.6,561.84
BAT-000394,severe_degradation,16.23,72.5,730.73
BAT-000395,degraded,14.16,75.2,556.52
BAT-000396,optimal,1.38,98.5,51.27
BAT-000397,degraded,9.53,85.2,212.25
BAT-000398,degraded,11.04,80.7,419.75
BAT-000399,severe_degradation,17.0,70.4,454.55
BAT-000400,degraded,12.87,76.7,651.38
BAT-000401,optimal,2.06,96.0,176.11
BAT-000402,optimal,3.43,93.4,296.61
BAT-000403,severe_degradation,21.74,61.8,654.75
BAT-000404,severe_degradation,32.34,44.4,1136.61
BAT-000405,severe_degradation,19.45,66.7,1170.62
BAT-000406,severe_degradation,17.48,68.6,1427.96
BAT-000407,severe_degradation,16.11,71.3,1221.92
BAT-000408,optimal,3.71,94.3,343.52
BAT-000409,optimal,4.28,90.9,215.88
BAT-000410,severe_degradation,24.47,57.5,1710.49
BAT-000411,degraded,14.2,75.7,681.17
BAT-000412,optimal,1.17,98.5,91.33
BAT-000413,degraded,13.27,78.2,471.49
BAT-000414,optimal,4.99,90.4,131.96
BAT-000415,severe_degradation,16.17,70.4,586.69
BAT-000416,degraded,11.81,78.9,548.25
BAT-000417,lost,70.3,5.0,1981.46
BAT-000418,severe_degradation,17.97,69.5,1053.6
BAT-000419,optimal,3.68,94.3,182.62
BAT-000420,degraded,14.0,76.5,362.36
BAT-000421,optimal,3.16,93.3,213.22
BAT-000422,optimal,2.34,95.9,104.13
BAT-000423,lost,52.74,8.3,2267.49
BAT-000424,degraded,5.08,91.3,345.95
BAT-000425,optimal,2.4,95.9,191.86
BAT-000426,severe_degradation,20.3,63.8,1528.97
BAT-000427,severe_degradation,21.69,61.9,2245.11
BAT-000428,lost,39.2,32.4,3468.59
BAT-000429,degraded,5.41,87.8,284.95
BAT-000430,optimal,1.48,97.8,80.72
BAT-000431,degraded,7.57,88.8,211.27
BAT-000432,degraded,9.32,82.3,446.6
BAT-000433,optimal,2.87,95.1,248.44
BAT-000434,severe_degradation,25.93,54.3,1922.35
BAT-000435,optimal,4.83,92.2,245.81
BAT-000436,optimal,2.66,96.3,148.19
BAT-000437,degraded,10.15,82.7,483.5
BAT-000438,degraded,13.89,76.4,755.85
BAT-000439,optimal,1.47,95.9,85.7
BAT-000440,optimal,3.17,94.8,147.23
BAT-000441,optimal,2.03,95.8,117.71
BAT-000442,degraded,9.26,83.8,856.2
BAT-000443,severe_degradation,15.94,71.8,501.83
BAT-000444,degraded,5.55,91.9,125.25
BAT-000445,degraded,9.38,82.3,697.22
BAT-000446,lost,81.27,5.0,3453.51
BAT-000447,severe_degradation,18.55,69.2,1354.35
BAT-000448,optimal,4.23,90.4,132.58
BAT-000449,degraded,8.17,86.3,281.17
BAT-000450,degraded,11.44,81.1,502.06
BAT-000451,optimal,3.88,92.7,323.81
BAT-000452,optimal,3.57,94.0,195.4
BAT-000453,optimal,3.9,92.8,239.22
BAT-000454,optimal,3.13,94.1,226.34
BAT-000455,degraded,7.99,85.0,742.88
BAT-000456,degraded,13.86,76.5,585.74
BAT-000457,optimal,4.31,91.5,419.84
BAT-000458,degraded,6.53,88.3,215.63
BAT-000459,severe_degradation,17.84,67.6,1314.12
BAT-000460,severe_degradation,18.11,70.1,299.46
BAT-000461,degraded,9.35,84.6,644.37
BAT-000462,optimal,3.87,92.1,356.61
BAT-000463,severe_degradation,17.21,68.9,345.35
BAT-000464,optimal,4.93,92.1,284.04
BAT-000465,degraded,14.4,74.9,950.94
BAT-000466,optimal,3.77,93.5,360.33
BAT-000467,severe_degradation,21.33,60.8,915.65
BAT-000468,severe_degradation,19.42,67.0,772.44
BAT-000469,optimal,3.88,90.5,356.2
BAT-000470,degraded,10.24,81.5,228.95
BAT-000471,severe_degradation,24.93,57.1,1301.97
BAT-000472,optimal,2.97,95.5,99.62
BAT-000473,severe_degradation,17.35,68.0,1605.44
BAT-000474,optimal,2.88,93.3,215.44
BAT-000475,degraded,13.28,76.7,516.36
BAT-000476,degraded,10.3,82.5,949.34
BAT-000477,severe_degradation,17.02,69.4,1288.29
BAT-000478,severe_degradation,19.07,67.1,832.15
BAT-000479,optimal,2.59,95.1,229.25
BAT-000480,degraded,13.48,75.5,586.64
BAT-000481,optimal,2.99,95.1,326.42
BAT-000482,lost,35.36,37.8,2168.45
BAT-000483,optimal,3.08,94.7,80.62
BAT-000484,degraded,12.41,78.1,240.52
BAT-000485,severe_degradation,21.07,62.7,1191.18
BAT-000486,degraded,11.58,80.6,847.71
BAT-000487,optimal,3.81,92.7,221.9
BAT-000488,degraded,6.25,89.9,414.94
BAT-000489,degraded,6.69,87.6,457.82
BAT-000490,degraded,5.45,89.1,364.29
BAT-000491,degraded,8.9,84.2,451.55
BAT-000492,severe_degradation,27.11,52.3,867.49
BAT-000493,degraded,9.99,81.5,268.01
BAT-000494,lost,42.78,25.8,3942.18
BAT-000495,degraded,14.64,75.8,753.76
BAT-000496,optimal,4.41,91.1,333.35
BAT-000497,degraded,11.62,81.4,594.53
BAT-000498,severe_degradation,23.18,61.0,1903.74
BAT-000499,degraded,9.62,82.3,426.48
BAT-000500,severe_degradation,18.51,68.9,912.91
BAT-000501,optimal,2.65,95.4,169.38
BAT-000502,degraded,13.19,76.8,628.47
BAT-000503,severe_degradation,16.24,72.5,858.79
BAT-000504,optimal,1.07,98.5,59.47
BAT-000505,degraded,8.16,86.3,410.32
BAT-000506,severe_degradation,19.18,67.6,595.15
BAT-000507,degraded,14.28,74.6,1066.6
BAT-000508,lost,41.94,28.7,3663.82
BAT-000509,degraded,14.14,74.8,1010.47
BAT-000510,degraded,7.51,84.4,363.67
BAT-000511,severe_degradation,18.09,69.3,325.38
BAT-000512,degraded,8.7,85.0,582.44
BAT-000513,optimal,2.82,94.5,82.4
BAT-000514,optimal,3.81,94.7,123.75
BAT-000515,degraded,6.54,86.5,299.37
BAT-000516,optimal,2.38,95.9,134.88
BAT-000517,severe_degradation,16.05,71.5,1086.02
BAT-000518,severe_degradation,28.63,51.5,1980.93
BAT-000519,severe_degradation,19.42,65.9,823.19
BAT-000520,degraded,12.6,79.0,873.48
BAT-000521,severe_degradation,19.03,65.2,793.96
BAT-000522,optimal,3.98,92.8,251.14
BAT-000523,optimal,3.26,93.9,302.74
BAT-000524,severe_degradation,29.94,51.3,2222.82
BAT-000525,optimal,4.3,94.2,184.22
BAT-000526,severe_degradation,29.78,47.6,773.33
BAT-000527,optimal,4.54,92.1,426.17
BAT-000528,degraded,8.75,85.7,551.24
BAT-000529,degraded,5.34,90.4,178.09
BAT-000530,severe_degradation,22.43,61.2,1064.22
BAT-000531,optimal,3.25,95.4,310.59
BAT-000532,severe_degradation,15.18,74.2,653.72
BAT-000533,degraded,7.94,85.4,552.44
BAT-000534,severe_degradation,28.85,49.8,2174.68
BAT-000535,severe_degradation,15.97,73.5,1239.33
BAT-000536,degraded,6.8,90.4,482.5
BAT-000537,lost,79.03,5.0,4310.4
BAT-000538,degraded,6.31,89.6,426.48
BAT-000539,degraded,5.84,90.1,425.62
BAT-000540,optimal,4.5,92.9,294.02
BAT-000541,degraded,11.53,79.9,503.26
BAT-000542,degraded,6.29,90.4,393.93
BAT-000543,severe_degradation,17.99,69.0,557.05
BAT-000544,optimal,3.23,93.8,227.9
BAT-000545,severe_degradation,24.48,56.7,1118.65
BAT-000546,severe_degradation,30.81,46.5,1722.96
BAT-000547,degraded,11.93,79.6,1035.14
BAT-000548,degraded,9.29,83.9,743.35
BAT-000549,severe_degradation,16.25,73.6,493.46
BAT-000550,optimal,3.98,92.4,379.95
BAT-000551,optimal,4.38,92.4,259.8
BAT-000552,degraded,9.28,82.7,885.84
BAT-000553,optimal,4.73,90.6,377.85
BAT-000554,optimal,2.7,93.9,188.8
BAT-000555,optimal,0.65,97.9,51.38
BAT-000556,severe_degradation,18.7,66.0,988.71
BAT-000557,severe_degradation,22.38,64.7,1139.06
BAT-000558,severe_degradation,15.75,72.4,1090.49
BAT-000559,severe_degradation,27.43,52.7,1203.66
BAT-000560,optimal,3.71,91.8,124.13
BAT-000561,optimal,2.2,95.5,88.35
BAT-000562,degraded,6.15,90.1,253.15
BAT-000563,degraded,14.41,75.9,299.19
BAT-000564,degraded,8.61,84.6,180.33
BAT-000565,severe_degradation,31.09,46.4,1893.08
BAT-000566,degraded,11.26,80.8,691.16
BAT-000567,degraded,5.4,90.0,213.97
BAT-000568,severe_degradation,17.53,70.7,1043.73
BAT-000569,severe_degradation,19.72,66.7,469.07
BAT-000570,optimal,3.49,94.6,120.99
BAT-000571,degraded,6.21,88.1,188.48
BAT-000572,optimal,2.86,92.7,269.33
BAT-000573,optimal,1.95,97.8,189.33
BAT-000574,optimal,2.85,94.7,161.63
BAT-000575,optimal,1.36,95.0,102.45
BAT-000576,severe_degradation,22.27,62.6,631.58
BAT-000577,optimal,1.06,97.3,35.29
