check_id,batch_id,check_datetime,stage,firmness_kg_cm2,sugar_brix,defect_pct
CHK-000078,BAT-000026,2024-09-19 23:38:36,arrival,5.61,16.4,8.8
CHK-000079,BAT-000027,2024-10-08 10:30:00,harvest,8.14,13.0,3.9
CHK-000080,BAT-000027,2024-10-28 12:37:48,pre_dispatch,6.49,15.9,3.5
CHK-000081,BAT-000027,2024-10-29 07:03:48,arrival,5.63,15.7,10.3
CHK-000082,BAT-000028,2024-06-02 15:15:00,harvest,7.45,12.3,0.7
CHK-000083,BAT-000028,2024-06-05 17:45:36,pre_dispatch,6.45,15.1,7.8
CHK-000084,BAT-000028,2024-06-06 03:21:12,arrival,6.48,14.0,15.0
CHK-000085,BAT-000029,2024-09-04 09:30:00,harvest,8.02,16.3,1.4
CHK-000086,BAT-000029,2024-12-31 09:41:24,pre_dispatch,7.43,15.8,7.2
CHK-000087,BAT-000029,2025-01-01 18:16:48,arrival,6.62,15.9,15.9
CHK-000088,BAT-000030,2024-10-18 13:45:00,harvest,7.71,16.0,2.6
CHK-000089,BAT-000030,2025-01-23 13:39:00,pre_dispatch,7.11,14.8,5.3
CHK-000090,BAT-000030,2025-01-24 11:31:00,arrival,4.19,12.7,5.0
CHK-000091,BAT-000031,2024-10-01 15:30:00,harvest,8.47,13.5,3.2
CHK-000092,BAT-000031,2024-12-06 17:57:00,pre_dispatch,7.75,15.9,3.6
CHK-000093,BAT-000031,2024-12-07 12:45:12,arrival,6.79,14.5,7.9
CHK-000094,BAT-000032,2024-10-03 09:15:00,harvest,7.57,11.7,1.4
CHK-000095,BAT-000032,2024-11-14 09:06:36,pre_dispatch,5.38,13.1,8.4
CHK-000096,BAT-000032,2024-11-14 19:04:12,arrival,4.42,14.6,5.4
CHK-000097,BAT-000033,2024-10-25 07:30:00,harvest,7.83,14.7,0.9
CHK-000098,BAT-000033,2025-01-02 10:06:36,pre_dispatch,5.81,16.7,4.4
CHK-000099,BAT-000033,2025-01-03 05:34:24,arrival,6.14,16.2,13.2
CHK-000100,BAT-000034,2024-08-11 09:15:00,harvest,6.66,11.6,1.2
CHK-000101,BAT-000034,2024-08-30 13:00:00,pre_dispatch,6.08,15.7,5.0
CHK-000102,BAT-000034,2024-08-30 20:07:48,arrival,5.71,16.7,2.8
CHK-000103,BAT-000035,2024-09-06 12:30:00,harvest,6.52,12.2,2.1
CHK-000104,BAT-000035,2025-01-14 15:23:24,pre_dispatch,6.01,13.9,8.4
CHK-000105,BAT-000035,2025-01-15 00:44:48,arrival,7.14,12.9,17.2
CHK-000106,BAT-000036,2024-09-27 08:45:00,harvest,7.7,16.0,0.7
CHK-000107,BAT-000036,2024-10-18 09:19:48,pre_dispatch,6.18,14.2,5.0
CHK-000108,BAT-000036,2024-10-19 04:48:36,arrival,6.32,13.0,9.6
CHK-000109,BAT-000037,2024-07-20 09:45:00,harvest,8.49,13.7,2.7
CHK-000110,BAT-000037,2024-08-07 13:00:36,pre_dispatch,7.01,15.1,5.8
CHK-000111,BAT-000037,2024-08-09 08:46:00,arrival,7.06,15.1,1.5
CHK-000112,BAT-000038,2024-10-02 09:30:00,harvest,6.61,15.2,1.9
CHK-000113,BAT-000038,2025-02-13 12:10:12,pre_dispatch,6.35,15.8,6.6
CHK-000114,BAT-000038,2025-02-14 01:26:12,arrival,5.46,14.0,17.3
CHK-000115,BAT-000039,2024-09-30 09:30:00,harvest,8.19,16.2,1.3
CHK-000116,BAT-000039,2024-12-04 12:57:36,pre_dispatch,5.94,14.6,8.4
CHK-000117,BAT-000039,2024-12-05 20:27:36,arrival,6.62,15.9,4.5
CHK-000118,BAT-000040,2024-06-10 10:30:00,harvest,7.06,14.9,2.9
CHK-000119,BAT-000040,2024-06-15 10:09:36,pre_dispatch,6.03,16.7,5.9
CHK-000120,BAT-000040,2024-06-16 04:40:12,arrival,5.22,13.1,14.4
CHK-000121,BAT-000041,2024-07-02 10:00:00,harvest,7.87,15.9,3.8
CHK-000122,BAT-000041,2024-07-15 13:06:36,pre_dispatch,5.29,14.8,3.5
CHK-000123,BAT-000041,2024-07-15 22:52:48,arrival,6.25,12.0,18.0
CHK-000124,BAT-000042,2024-08-22 08:15:00,harvest,8.17,11.0,3.4
CHK-000125,BAT-000042,2024-09-05 09:34:48,pre_dispatch,6.61,12.7,6.9
CHK-000126,BAT-000042,2024-09-06 17:45:36,arrival,4.82,12.2,13.7
CHK-000127,BAT-000043,2024-08-10 14:45:00,harvest,7.24,13.9,2.7
CHK-000128,BAT-000043,2024-09-07 17:16:12,pre_dispatch,5.53,14.1,7.0
CHK-000129,BAT-000043,2024-09-09 11:07:24,arrival,4.09,13.2,4.9
CHK-000130,BAT-000044,2024-08-01 15:00:00,harvest,7.08,12.0,2.9
CHK-000131,BAT-000044,2024-08-11 17:54:00,pre_dispatch,5.77,13.6,7.7
CHK-000132,BAT-000044,2024-08-12 02:31:00,arrival,5.39,16.8,12.4
CHK-000133,BAT-000045,2024-10-10 11:45:00,harvest,8.03,15.2,2.2
CHK-000134,BAT-000045,2024-11-02 14:59:24,pre_dispatch,6.54,12.4,2.6
CHK-000135,BAT-000045,2024-11-04 08:30:24,arrival,6.68,16.7,3.3
CHK-000136,BAT-000046,2024-08-26 12:00:00,harvest,8.48,11.6,0.6
CHK-000137,BAT-000046,2024-09-15 11:57:36,pre_dispatch,5.14,16.7,5.0
CHK-000138,BAT-000046,2024-09-16 20:37:00,arrival,7.11,13.4,15.7
CHK-000139,BAT-000047,2024-08-16 13:45:00,harvest,6.84,15.6,3.4
CHK-000140,BAT-000047,2024-09-12 15:21:36,pre_dispatch,6.37,12.4,2.6
CHK-000141,BAT-000047,2024-09-13 01:39:00,arrival,5.93,11.5,13.1
CHK-000142,BAT-000048,2024-09-01 08:00:00,harvest,6.91,14.9,0.6
CHK-000143,BAT-000048,2024-11-11 08:47:24,pre_dispatch,5.73,14.7,1.1
CHK-000144,BAT-000048,2024-11-12 02:24:00,arrival,6.49,13.7,3.1
CHK-000145,BAT-000049,2024-06-25 10:45:00,harvest,7.95,11.3,1.8
CHK-000146,BAT-000049,2024-07-08 12:18:00,pre_dispatch,7.8,16.6,3.0
CHK-000147,BAT-000049,2024-07-08 21:41:36,arrival,6.28,13.5,4.3
CHK-000148,BAT-000050,2024-08-27 14:45:00,harvest,8.08,11.6,0.7
CHK-000149,BAT-000050,2024-11-26 15:31:48,pre_dispatch,5.15,13.6,2.1
CHK-000150,BAT-000050,2024-11-28 09:45:24,arrival,6.9,15.6,11.3
CHK-000151,BAT-000051,2024-10-17 15:00:00,harvest,6.8,16.0,2.7
CHK-000152,BAT-000051,2025-03-19 16:33:36,pre_dispatch,6.69,16.2,1.2
CHK-000153,BAT-000051,2025-03-20 11:13:12,arrival,4.8,15.0,2.1
CHK-000154,BAT-000052,2024-09-26 14:45:00,harvest,7.23,16.2,2.5
CHK-000155,BAT-000052,2024-12-26 14:15:36,pre_dispatch,5.8,13.5,7.3
CHK-000156,BAT-000052,2024-12-27 01:36:48,arrival,7.11,13.5,2.4
CHK-000157,BAT-000053,2024-09-14 14:15:00,harvest,8.18,13.2,1.8
CHK-000158,BAT-000053,2024-10-04 16:39:00,pre_dispatch,5.49,13.2,6.0
CHK-000159,BAT-000053,2024-10-06 11:22:12,arrival,6.82,14.3,1.9
CHK-000160,BAT-000054,2024-09-16 10:30:00,harvest,6.67,15.5,3.5
CHK-000161,BAT-000054,2024-10-01 13:27:36,pre_dispatch,5.93,13.9,2.2
CHK-000162,BAT-000054,2024-10-03 02:10:00,arrival,5.72,12.6,13.7
CHK-000163,BAT-000055,2024-10-07 07:45:00,harvest,7.07,16.4,2.8
CHK-000164,BAT-000055,2024-11-27 07:46:12,pre_dispatch,5.9,16.6,4.0
CHK-000165,BAT-000055,2024-11-28 06:18:12,arrival,7.16,12.7,9.5
CHK-000166,BAT-000056,2024-09-28 10:45:00,harvest,8.22,12.0,2.7
CHK-000167,BAT-000056,2024-10-07 13:37:12,pre_dispatch,6.94,12.0,8.1
CHK-000168,BAT-000056,2024-10-07 22:14:48,arrival,4.13,16.1,2.7
CHK-000169,BAT-000057,2024-09-18 10:15:00,harvest,7.61,12.4,0.5
CHK-000170,BAT-000057,2024-11-27 11:16:12,pre_dispatch,7.21,15.0,3.0
CHK-000171,BAT-000057,2024-11-28 09:34:48,arrival,7.14,11.8,11.0
CHK-000172,BAT-000058,2024-09-05 10:15:00,harvest,8.04,13.8,1.7
CHK-000173,BAT-000058,2024-11-09 11:46:12,pre_dispatch,5.99,15.4,4.2
CHK-000174,BAT-000058,2024-11-10 05:07:36,arrival,5.53,13.4,4.3
CHK-000175,BAT-000059,2024-08-21 14:00:00,harvest,7.65,15.5,3.1
CHK-000176,BAT-000059,2024-12-17 17:20:24,pre_dispatch,7.52,14.0,6.8
CHK-000177,BAT-000059,2024-12-19 11:32:00,arrival,4.62,15.7,15.2
CHK-000178,BAT-000060,2024-08-26 13:00:00,harvest,7.23,15.9,2.7
CHK-000179,BAT-000060,2024-10-25 14:09:00,pre_dispatch,5.34,16.6,6.2
CHK-000180,BAT-000060,2024-10-26 03:19:48,arrival,6.63,16.9,13.0
CHK-000181,BAT-000061,2024-09-09 14:30:00,harvest,7.74,11.9,1.1
CHK-000182,BAT-000061,2024-11-14 14:48:00,pre_dispatch,5.6,15.8,7.8
CHK-000183,BAT-000061,2024-11-14 22:17:00,arrival,5.61,16.6,15.0
CHK-000184,BAT-000062,2024-10-24 10:00:00,harvest,7.84,12.6,2.5
CHK-000185,BAT-000062,2024-12-28 11:14:24,pre_dispatch,6.34,15.4,7.0
CHK-000186,BAT-000062,2024-12-29 23:57:00,arrival,4.74,14.3,9.3
CHK-000187,BAT-000063,2024-09-24 14:00:00,harvest,8.16,14.5,1.8
CHK-000188,BAT-000063,2025-01-12 17:24:36,pre_dispatch,6.6,15.4,1.7
CHK-000189,BAT-000063,2025-01-13 11:23:24,arrival,6.19,16.7,10.6
CHK-000190,BAT-000064,2024-09-02 08:15:00,harvest,6.68,11.8,1.6
CHK-000191,BAT-000064,2024-11-03 10:12:36,pre_dispatch,7.79,13.2,3.7
CHK-000192,BAT-000064,2024-11-04 18:16:12,arrival,5.01,16.6,15.1
CHK-000193,BAT-000065,2024-08-23 13:30:00,harvest,8.3,16.1,3.9
CHK-000194,BAT-000065,2024-12-14 14:30:36,pre_dispatch,5.28,13.7,3.7
CHK-000195,BAT-000065,2024-12-15 22:59:24,arrival,6.78,11.6,17.6
CHK-000196,BAT-000066,2024-08-27 07:45:00,harvest,6.97,15.3,3.0
CHK-000197,BAT-000066,2025-01-19 09:25:48,pre_dispatch,7.51,14.8,6.0
CHK-000198,BAT-000066,2025-01-20 20:45:36,arrival,4.12,14.2,12.0
CHK-000199,BAT-000067,2024-10-03 13:15:00,harvest,8.41,13.3,1.0
CHK-000200,BAT-000067,2025-01-18 15:48:36,pre_dispatch,7.24,12.3,4.6
CHK-000201,BAT-000067,2025-01-19 01:36:48,arrival,4.86,16.6,9.8
CHK-000202,BAT-000068,2024-10-17 14:00:00,harvest,7.96,14.1,2.8
CHK-000203,BAT-000068,2025-01-29 16:24:36,pre_dispatch,5.17,14.3,5.8
CHK-000204,BAT-000068,2025-01-31 03:15:36,arrival,5.29,13.4,17.3
CHK-000205,BAT-000069,2024-08-25 15:15:00,harvest,6.78,16.2,2.8
CHK-000206,BAT-000069,2024-11-13 14:54:00,pre_dispatch,6.94,16.5,5.8
CHK-000207,BAT-000069,2024-11-14 09:36:36,arrival,4.74,16.0,9.6
CHK-000208,BAT-000070,2024-09-05 07:00:00,harvest,7.28,12.5,2.1
CHK-000209,BAT-000070,2024-11-18 08:40:48,pre_dispatch,6.61,12.8,6.8
CHK-000210,BAT-000070,2024-11-19 20:23:24,arrival,6.77,16.9,9.8
CHK-000211,BAT-000071,2024-09-24 14:30:00,harvest,8.11,15.2,1.6
CHK-000212,BAT-000071,2025-02-01 15:40:48,pre_dispatch,7.55,17.0,7.6
CHK-000213,BAT-000071,2025-02-02 01:04:12,arrival,6.85,13.7,3.8
CHK-000214,BAT-000072,2024-09-23 14:00:00,harvest,6.87,15.3,2.6
CHK-000215,BAT-000072,2024-10-10 16:54:36,pre_dispatch,7.62,13.3,1.2
CHK-000216,BAT-000072,2024-10-12 05:05:00,arrival,4.36,15.2,3.0
CHK-000217,BAT-000073,2024-08-05 08:45:00,harvest,8.45,11.4,1.7
CHK-000218,BAT-000073,2024-08-18 12:17:24,pre_dispatch,5.58,15.5,5.5
CHK-000219,BAT-000073,2024-08-18 23:51:00,arrival,4.93,15.6,12.8
CHK-000220,BAT-000074,2024-05-22 08:30:00,harvest,6.74,14.3,0.8
CHK-000221,BAT-000074,2024-05-28 08:01:12,pre_dispatch,5.62,15.2,7.6
CHK-000222,BAT-000074,2024-05-29 15:48:00,arrival,7.16,13.0,16.7
CHK-000223,BAT-000075,2024-09-26 11:15:00,harvest,7.67,13.7,2.9
CHK-000224,BAT-000075,2024-10-31 12:15:36,pre_dispatch,6.86,11.7,1.9
CHK-000225,BAT-000075,2024-10-31 23:42:12,arrival,4.7,14.1,6.9
CHK-000226,BAT-000076,2024-08-06 08:00:00,harvest,7.46,14.3,3.9
CHK-000227,BAT-000076,2024-08-28 09:48:36,pre_dispatch,6.32,15.4,4.6
CHK-000228,BAT-000076,2024-08-29 05:36:00,arrival,6.49,16.2,3.8
CHK-000229,BAT-000077,2024-05-26 11:45:00,harvest,6.75,13.6,0.7
CHK-000230,BAT-000077,2024-05-30 14:25:48,pre_dispatch,6.99,11.8,6.2
CHK-000231,BAT-000077,2024-06-01 05:37:36,arrival,7.16,13.9,11.0
CHK-000232,BAT-000078,2024-09-30 07:15:00,harvest,7.37,15.7,1.1
CHK-000233,BAT-000078,2024-10-31 08:04:12,pre_dispatch,7.68,13.1,4.3
CHK-000234,BAT-000078,2024-11-01 05:11:12,arrival,5.8,16.1,3.3
CHK-000235,BAT-000079,2024-08-28 13:30:00,harvest,8.18,15.0,2.8
CHK-000236,BAT-000079,2024-12-30 15:08:24,pre_dispatch,6.1,13.2,4.1
CHK-000237,BAT-000079,2024-12-30 23:52:12,arrival,4.69,16.1,9.2
CHK-000238,BAT-000080,2024-09-17 11:45:00,harvest,8.32,15.7,1.5
CHK-000239,BAT-000080,2025-01-02 15:16:12,pre_dispatch,6.31,12.1,3.3
CHK-000240,BAT-000080,2025-01-02 23:32:00,arrival,6.58,15.3,13.5
CHK-000241,BAT-000081,2024-10-10 14:00:00,harvest,7.7,14.6,2.1
CHK-000242,BAT-000081,2025-02-13 15:30:36,pre_dispatch,5.28,11.6,1.3
CHK-000243,BAT-000081,2025-02-14 08:49:48,arrival,6.58,13.5,7.7
CHK-000244,BAT-000082,2024-09-29 14:00:00,harvest,7.27,15.0,0.7
CHK-000245,BAT-000082,2025-01-14 16:16:12,pre_dispatch,6.23,14.2,5.6
CHK-000246,BAT-000082,2025-01-16 11:26:48,arrival,5.88,13.4,17.4
CHK-000247,BAT-000083,2024-08-16 08:45:00,harvest,6.51,12.5,2.2
CHK-000248,BAT-000083,2024-09-15 11:15:00,pre_dispatch,6.95,15.2,4.4
CHK-000249,BAT-000083,2024-09-17 04:54:24,arrival,4.85,15.9,4.9
CHK-000250,BAT-000084,2024-07-07 15:45:00,harvest,8.33,13.1,0.6
CHK-000251,BAT-000084,2024-07-17 15:43:12,pre_dispatch,7.3,15.2,8.2
CHK-000252,BAT-000084,2024-07-18 04:11:36,arrival,6.4,16.7,14.7
CHK-000253,BAT-000085,2024-10-04 14:00:00,harvest,8.23,12.9,3.2
CHK-000254,BAT-000085,2024-10-28 14:00:36,pre_dispatch,5.8,14.7,7.2
CHK-000255,BAT-000085,2024-10-29 08:55:36,arrival,4.89,14.0,16.2
CHK-000256,BAT-000086,2024-07-15 11:45:00,harvest,6.6,13.5,1.2
CHK-000257,BAT-000086,2024-07-28 13:46:48,pre_dispatch,6.38,15.2,6.4
CHK-000258,BAT-000086,2024-07-29 00:56:48,arrival,7.03,12.8,4.4
CHK-000259,BAT-000087,2024-07-01 13:30:00,harvest,8.22,13.1,1.0
CHK-000260,BAT-000087,2024-07-21 15:19:48,pre_dispatch,6.43,13.8,4.9
CHK-000261,BAT-000087,2024-07-21 23:37:48,arrival,5.68,13.7,12.0
CHK-000262,BAT-000088,2024-09-05 15:00:00,harvest,7.1,14.2,1.1
CHK-000263,BAT-000088,2024-09-22 16:34:48,pre_dispatch,5.86,12.3,8.4
CHK-000264,BAT-000088,2024-09-23 10:27:24,arrival,4.82,13.4,5.4
CHK-000265,BAT-000089,2024-10-02 11:30:00,harvest,6.68,11.7,2.4
CHK-000266,BAT-000089,2025-01-14 13:41:24,pre_dispatch,6.65,12.2,1.2
CHK-000267,BAT-000089,2025-01-15 00:39:48,arrival,6.1,14.6,4.3
CHK-000268,BAT-000090,2024-09-11 10:15:00,harvest,7.85,15.4,2.2
CHK-000269,BAT-000090,2024-12-12 11:31:48,pre_dispatch,5.58,16.7,6.8
CHK-000270,BAT-000090,2024-12-13 05:42:36,arrival,4.51,15.6,14.0
CHK-000271,BAT-000091,2024-10-09 11:30:00,harvest,8.45,11.2,1.8
CHK-000272,BAT-000091,2024-10-29 13:59:24,pre_dispatch,6.82,11.9,8.0
CHK-000273,BAT-000091,2024-10-31 08:54:48,arrival,4.55,16.6,6.7
CHK-000274,BAT-000092,2024-06-19 09:45:00,harvest,6.65,11.9,1.6
CHK-000275,BAT-000092,2024-06-22 09:23:24,pre_dispatch,6.57,13.0,4.5
CHK-000276,BAT-000092,2024-06-23 22:45:12,arrival,5.35,13.9,13.7
CHK-000277,BAT-000093,2024-09-21 12:15:00,harvest,8.29,12.0,2.2
CHK-000278,BAT-000093,2024-10-02 15:01:12,pre_dispatch,6.38,16.4,7.5
CHK-000279,BAT-000093,2024-10-03 09:22:36,arrival,6.93,16.3,13.0
CHK-000280,BAT-000094,2024-09-26 07:45:00,harvest,7.37,16.1,3.3
CHK-000281,BAT-000094,2024-12-17 07:48:36,pre_dispatch,5.36,12.3,1.4
CHK-000282,BAT-000094,2024-12-18 01:48:48,arrival,4.05,15.1,11.0
CHK-000283,BAT-000095,2024-10-16 07:45:00,harvest,7.67,12.1,0.6
CHK-000284,BAT-000095,2025-01-30 07:57:36,pre_dispatch,5.44,16.0,3.1
CHK-000285,BAT-000095,2025-01-30 16:45:36,arrival,4.45,12.3,17.2
CHK-000286,BAT-000096,2024-09-07 08:45:00,harvest,8.47,13.7,0.7
CHK-000287,BAT-000096,2025-01-25 09:10:48,pre_dispatch,5.41,15.6,4.0
CHK-000288,BAT-000096,2025-01-25 18:37:12,arrival,6.84,14.8,16.8
CHK-000289,BAT-000097,2024-06-14 15:30:00,harvest,7.69,15.5,0.8
CHK-000290,BAT-000097,2024-06-19 15:46:48,pre_dispatch,5.13,12.5,7.4
CHK-000291,BAT-000097,2024-06-21 07:37:36,arrival,6.29,15.1,14.2
CHK-000292,BAT-000098,2024-07-28 14:00:00,harvest,7.95,12.9,0.6
CHK-000293,BAT-000098,2024-08-12 15:07:48,pre_dispatch,5.47,14.9,5.1
CHK-000294,BAT-000098,2024-08-13 23:57:00,arrival,4.83,15.9,8.5
CHK-000295,BAT-000099,2024-08-25 08:00:00,harvest,7.13,16.3,1.9
CHK-000296,BAT-000099,2024-09-27 08:02:24,pre_dispatch,6.36,16.6,4.8
CHK-000297,BAT-000099,2024-09-27 21:01:48,arrival,6.99,12.9,5.2
CHK-000298,BAT-000100,2024-09-28 09:15:00,harvest,8.16,12.6,1.8
CHK-000299,BAT-000100,2024-12-07 12:13:12,pre_dispatch,7.38,12.0,1.7
CHK-000300,BAT-000100,2024-12-09 07:15:00,arrival,6.01,14.4,2.9
CHK-000301,BAT-000101,2024-09-18 12:30:00,harvest,7.34,14.9,2.6
CHK-000302,BAT-000101,2024-11-25 13:57:00,pre_dispatch,5.26,14.6,2.8
CHK-000303,BAT-000101,2024-11-25 22:13:00,arrival,4.37,16.7,11.4
CHK-000304,BAT-000102,2024-08-22 07:45:00,harvest,7.65,14.8,0.7
CHK-000305,BAT-000102,2024-10-09 09:20:24,pre_dispatch,6.08,12.8,7.4
CHK-000306,BAT-000102,2024-10-10 17:23:12,arrival,6.13,13.2,7.0
CHK-000307,BAT-000103,2024-09-12 11:15:00,harvest,7.69,14.2,3.5
CHK-000308,BAT-000103,2024-11-30 11:28:12,pre_dispatch,7.75,11.5,2.4
CHK-000309,BAT-000103,2024-11-30 19:01:00,arrival,4.76,14.6,14.3
CHK-000310,BAT-000104,2024-09-15 09:30:00,harvest,7.39,13.8,3.9
CHK-000311,BAT-000104,2024-11-20 12:49:12,pre_dispatch,5.27,12.6,1.9
CHK-000312,BAT-000104,2024-11-22 06:25:12,arrival,4.21,17.0,13.5
CHK-000313,BAT-000105,2024-09-28 07:15:00,harvest,8.35,15.0,3.6
