shipment_id,batch_id,destination_market,destination_region,vehicle_type,planned_departure_datetime,planned_arrival_datetime,planned_duration_hours,actual_departure_datetime,actual_arrival_datetime,actual_delay_minutes,cold_chain_incident,transit_temp_mean_c
SHP-000034,BAT-000034,Chișinău Local,Domestic,Insulated Van,2024-08-30 16:07:48,2024-08-30 20:07:48,4.0,2024-08-30 16:07:48,2024-08-30 20:07:48,0,False,2.7
SHP-000035,BAT-000035,Chișinău Local,Domestic,Insulated Van,2025-01-14 20:13:48,2025-01-15 00:13:48,4.0,2025-01-14 20:44:48,2025-01-15 00:44:48,31,False,3.6
SHP-000036,BAT-000036,Brașov,Romania,Reefer Truck,2024-10-18 12:48:36,2024-10-19 04:48:36,16.0,2024-10-18 12:48:36,2024-10-19 04:48:36,0,False,3.8
SHP-000037,BAT-000037,Berlin,Western Europe,Reefer Truck,2024-08-07 17:45:00,2024-08-09 07:45:00,38.0,2024-08-07 18:46:00,2024-08-09 08:46:00,61,False,3.0
SHP-000038,BAT-000038,Iași,Romania,Insulated Van,2025-02-13 16:28:12,2025-02-14 00:28:12,8.0,2025-02-13 17:26:12,2025-02-14 01:26:12,58,True,19.4
SHP-000039,BAT-000039,Warsaw,Central Europe,Reefer Truck,2024-12-04 16:27:36,2024-12-05 20:27:36,28.0,2024-12-04 16:27:36,2024-12-05 20:27:36,0,True,23.5
SHP-000040,BAT-000040,Bucharest,Romania,Reefer Truck,2024-06-15 14:40:12,2024-06-16 04:40:12,14.0,2024-06-15 14:40:12,2024-06-16 04:40:12,0,False,3.5
SHP-000041,BAT-000041,Bălți Wholesale,Domestic,Ambient Truck,2024-07-15 16:19:48,2024-07-15 21:19:48,5.0,2024-07-15 17:52:48,2024-07-15 22:52:48,93,True,26.3
SHP-000042,BAT-000042,Warsaw,Central Europe,Reefer Truck,2024-09-05 13:45:36,2024-09-06 17:45:36,28.0,2024-09-05 13:45:36,2024-09-06 17:45:36,0,False,3.9
SHP-000043,BAT-000043,Berlin,Western Europe,Reefer Truck,2024-09-07 20:56:24,2024-09-09 10:56:24,38.0,2024-09-07 21:07:24,2024-09-09 11:07:24,11,False,4.0
SHP-000044,BAT-000044,Chișinău Local,Domestic,Insulated Van,2024-08-11 21:27:00,2024-08-12 01:27:00,4.0,2024-08-11 22:31:00,2024-08-12 02:31:00,64,False,3.7
SHP-000045,BAT-000045,Berlin,Western Europe,Reefer Truck,2024-11-02 18:14:24,2024-11-04 08:14:24,38.0,2024-11-02 18:30:24,2024-11-04 08:30:24,16,False,4.5
SHP-000046,BAT-000046,Warsaw,Central Europe,Reefer Truck,2024-09-15 16:24:00,2024-09-16 20:24:00,28.0,2024-09-15 16:37:00,2024-09-16 20:37:00,13,False,2.7
SHP-000047,BAT-000047,Bălți Wholesale,Domestic,Ambient Truck,2024-09-12 19:57:00,2024-09-13 00:57:00,5.0,2024-09-12 20:39:00,2024-09-13 01:39:00,42,True,30.8
SHP-000048,BAT-000048,Bucharest,Romania,Reefer Truck,2024-11-11 12:06:00,2024-11-12 02:06:00,14.0,2024-11-11 12:24:00,2024-11-12 02:24:00,18,False,3.6
SHP-000049,BAT-000049,Chișinău Local,Domestic,Insulated Van,2024-07-08 17:15:36,2024-07-08 21:15:36,4.0,2024-07-08 17:41:36,2024-07-08 21:41:36,26,True,21.8
SHP-000050,BAT-000050,Berlin,Western Europe,Reefer Truck,2024-11-26 18:41:24,2024-11-28 08:41:24,38.0,2024-11-26 19:45:24,2024-11-28 09:45:24,64,False,2.9
SHP-000051,BAT-000051,Bucharest,Romania,Reefer Truck,2025-03-19 20:31:12,2025-03-20 10:31:12,14.0,2025-03-19 21:13:12,2025-03-20 11:13:12,42,False,3.0
SHP-000052,BAT-000052,Iași,Romania,Insulated Van,2024-12-26 17:34:48,2024-12-27 01:34:48,8.0,2024-12-26 17:36:48,2024-12-27 01:36:48,2,False,4.5
SHP-000053,BAT-000053,Berlin,Western Europe,Reefer Truck,2024-10-04 21:22:12,2024-10-06 11:22:12,38.0,2024-10-04 21:22:12,2024-10-06 11:22:12,0,False,3.6
SHP-000054,BAT-000054,Prague,Central Europe,Insulated Van,2024-10-01 17:54:00,2024-10-03 01:54:00,32.0,2024-10-01 18:10:00,2024-10-03 02:10:00,16,False,4.4
SHP-000055,BAT-000055,Iași,Romania,Insulated Van,2024-11-27 11:01:12,2024-11-27 19:01:12,8.0,2024-11-27 13:01:12,2024-11-28 06:18:12,677,False,3.3
SHP-000056,BAT-000056,Chișinău Local,Domestic,Insulated Van,2024-10-07 18:01:48,2024-10-07 22:01:48,4.0,2024-10-07 18:14:48,2024-10-07 22:14:48,13,False,4.0
SHP-000057,BAT-000057,Brașov,Romania,Reefer Truck,2024-11-27 15:22:48,2024-11-28 07:22:48,16.0,2024-11-27 17:22:48,2024-11-28 09:34:48,132,False,2.9
SHP-000058,BAT-000058,Bucharest,Romania,Reefer Truck,2024-11-09 15:06:36,2024-11-10 05:06:36,14.0,2024-11-09 15:07:36,2024-11-10 05:07:36,1,False,2.5
SHP-000059,BAT-000059,Berlin,Western Europe,Reefer Truck,2024-12-17 21:06:00,2024-12-19 11:06:00,38.0,2024-12-17 21:32:00,2024-12-19 11:32:00,26,False,3.9
SHP-000060,BAT-000060,Iași,Romania,Insulated Van,2024-10-25 18:52:48,2024-10-26 02:52:48,8.0,2024-10-25 19:19:48,2024-10-26 03:19:48,27,False,3.5
SHP-000061,BAT-000061,Chișinău Local,Domestic,Insulated Van,2024-11-14 18:15:00,2024-11-14 22:15:00,4.0,2024-11-14 18:17:00,2024-11-14 22:17:00,2,True,15.5
SHP-000062,BAT-000062,Prague,Central Europe,Reefer Truck,2024-12-28 15:57:00,2024-12-29 23:57:00,32.0,2024-12-28 15:57:00,2024-12-29 23:57:00,0,False,2.7
SHP-000063,BAT-000063,Bucharest,Romania,Reefer Truck,2025-01-12 21:23:24,2025-01-13 11:23:24,14.0,2025-01-12 21:23:24,2025-01-13 11:23:24,0,False,3.7
SHP-000064,BAT-000064,Warsaw,Central Europe,Reefer Truck,2024-11-03 13:58:12,2024-11-04 17:58:12,28.0,2024-11-03 14:16:12,2024-11-04 18:16:12,18,False,2.8
SHP-000065,BAT-000065,Warsaw,Central Europe,Reefer Truck,2024-12-14 18:38:24,2024-12-15 22:38:24,28.0,2024-12-14 18:59:24,2024-12-15 22:59:24,21,False,4.3
SHP-000066,BAT-000066,Prague,Central Europe,Reefer Truck,2025-01-19 12:45:36,2025-01-20 20:45:36,32.0,2025-01-19 12:45:36,2025-01-20 20:45:36,0,False,4.2
SHP-000067,BAT-000067,Bălți Wholesale,Domestic,Ambient Truck,2025-01-18 20:10:48,2025-01-19 01:10:48,5.0,2025-01-18 20:36:48,2025-01-19 01:36:48,26,False,18.6
SHP-000068,BAT-000068,Warsaw,Central Europe,Reefer Truck,2025-01-29 21:24:36,2025-01-31 01:24:36,28.0,2025-01-29 23:15:36,2025-01-31 03:15:36,111,False,4.4
SHP-000069,BAT-000069,Bucharest,Romania,Reefer Truck,2024-11-13 19:36:36,2024-11-14 09:36:36,14.0,2024-11-13 19:36:36,2024-11-14 09:36:36,0,False,3.0
SHP-000070,BAT-000070,Prague,Central Europe,Reefer Truck,2024-11-18 11:47:24,2024-11-19 19:47:24,32.0,2024-11-18 12:23:24,2024-11-19 20:23:24,36,False,3.6
SHP-000071,BAT-000071,Bălți Wholesale,Domestic,Ambient Truck,2025-02-01 20:04:12,2025-02-02 01:04:12,5.0,2025-02-01 20:04:12,2025-02-02 01:04:12,0,True,25.6
SHP-000072,BAT-000072,Prague,Central Europe,Reefer Truck,2024-10-10 20:54:00,2024-10-12 04:54:00,32.0,2024-10-10 21:05:00,2024-10-12 05:05:00,11,False,3.8
SHP-000073,BAT-000073,Iași,Romania,Insulated Van,2024-08-18 15:18:00,2024-08-18 23:18:00,8.0,2024-08-18 15:51:00,2024-08-18 23:51:00,33,False,4.2
SHP-000074,BAT-000074,Warsaw,Central Europe,Reefer Truck,2024-05-28 11:48:00,2024-05-29 15:48:00,28.0,2024-05-28 11:48:00,2024-05-29 15:48:00,0,False,3.5
SHP-000075,BAT-000075,Iași,Romania,Insulated Van,2024-10-31 15:40:12,2024-10-31 23:40:12,8.0,2024-10-31 15:42:12,2024-10-31 23:42:12,2,False,3.5
SHP-000076,BAT-000076,Brașov,Romania,Reefer Truck,2024-08-28 12:51:00,2024-08-29 04:51:00,16.0,2024-08-28 13:36:00,2024-08-29 05:36:00,45,False,2.9
SHP-000077,BAT-000077,Prague,Central Europe,Reefer Truck,2024-05-30 18:30:36,2024-06-01 02:30:36,32.0,2024-05-30 20:30:36,2024-06-01 05:37:36,187,False,3.8
SHP-000078,BAT-000078,Brașov,Romania,Reefer Truck,2024-10-31 12:49:12,2024-11-01 04:49:12,16.0,2024-10-31 13:11:12,2024-11-01 05:11:12,22,False,3.9
SHP-000079,BAT-000079,Chișinău Local,Domestic,Insulated Van,2024-12-30 19:43:12,2024-12-30 23:43:12,4.0,2024-12-30 19:52:12,2024-12-30 23:52:12,9,False,4.1
SHP-000080,BAT-000080,Chișinău Local,Domestic,Insulated Van,2025-01-02 19:15:00,2025-01-02 23:15:00,4.0,2025-01-02 19:32:00,2025-01-02 23:32:00,17,False,3.0
SHP-000081,BAT-000081,Bucharest,Romania,Reefer Truck,2025-02-13 18:49:48,2025-02-14 08:49:48,14.0,2025-02-13 18:49:48,2025-02-14 08:49:48,0,False,3.2
SHP-000082,BAT-000082,Berlin,Western Europe,Reefer Truck,2025-01-14 20:55:48,2025-01-16 10:55:48,38.0,2025-01-14 21:26:48,2025-01-16 11:26:48,31,False,2.7
SHP-000083,BAT-000083,Berlin,Western Europe,Reefer Truck,2024-09-15 14:23:24,2024-09-17 04:23:24,38.0,2024-09-15 14:54:24,2024-09-17 04:54:24,31,False,3.4
SHP-000084,BAT-000084,Iași,Romania,Insulated Van,2024-07-17 20:03:36,2024-07-18 04:03:36,8.0,2024-07-17 20:11:36,2024-07-18 04:11:36,8,False,3.0
SHP-000085,BAT-000085,Bucharest,Romania,Reefer Truck,2024-10-28 18:24:36,2024-10-29 08:24:36,14.0,2024-10-28 18:55:36,2024-10-29 08:55:36,31,True,14.4
SHP-000086,BAT-000086,Chișinău Local,Domestic,Insulated Van,2024-07-28 18:28:48,2024-07-28 22:28:48,4.0,2024-07-28 20:28:48,2024-07-29 00:56:48,148,False,3.3
SHP-000087,BAT-000087,Bălți Wholesale,Domestic,Ambient Truck,2024-07-21 18:34:48,2024-07-21 23:34:48,5.0,2024-07-21 18:37:48,2024-07-21 23:37:48,3,True,31.4
SHP-000088,BAT-000088,Bucharest,Romania,Reefer Truck,2024-09-22 20:05:24,2024-09-23 10:05:24,14.0,2024-09-22 20:27:24,2024-09-23 10:27:24,22,False,2.6
SHP-000089,BAT-000089,Chișinău Local,Domestic,Insulated Van,2025-01-14 18:22:48,2025-01-14 22:22:48,4.0,2025-01-14 20:22:48,2025-01-15 00:39:48,137,False,3.3
SHP-000090,BAT-000090,Bucharest,Romania,Reefer Truck,2024-12-12 15:27:36,2024-12-13 05:27:36,14.0,2024-12-12 15:42:36,2024-12-13 05:42:36,15,False,2.8
SHP-000091,BAT-000091,Berlin,Western Europe,Reefer Truck,2024-10-29 18:49:48,2024-10-31 08:49:48,38.0,2024-10-29 18:54:48,2024-10-31 08:54:48,5,False,3.5
SHP-000092,BAT-000092,Prague,Central Europe,Reefer Truck,2024-06-22 14:01:12,2024-06-23 22:01:12,32.0,2024-06-22 14:45:12,2024-06-23 22:45:12,44,False,4.2
SHP-000093,BAT-000093,Bucharest,Romania,Reefer Truck,2024-10-02 19:21:36,2024-10-03 09:21:36,14.0,2024-10-02 19:22:36,2024-10-03 09:22:36,1,False,2.8
SHP-000094,BAT-000094,Bucharest,Romania,Reefer Truck,2024-12-17 10:58:48,2024-12-18 00:58:48,14.0,2024-12-17 11:48:48,2024-12-18 01:48:48,50,False,3.2
SHP-000095,BAT-000095,Chișinău Local,Domestic,Insulated Van,2025-01-30 12:36:36,2025-01-30 16:36:36,4.0,2025-01-30 12:45:36,2025-01-30 16:45:36,9,False,2.7
SHP-000096,BAT-000096,Chișinău Local,Domestic,Insulated Van,2025-01-25 14:07:12,2025-01-25 18:07:12,4.0,2025-01-25 14:37:12,2025-01-25 18:37:12,30,False,2.6
SHP-000097,BAT-000097,Warsaw,Central Europe,Reefer Truck,2024-06-19 20:24:36,2024-06-21 00:24:36,28.0,2024-06-19 22:24:36,2024-06-21 07:37:36,433,False,3.0
SHP-000098,BAT-000098,Warsaw,Central Europe,Reefer Truck,2024-08-12 19:57:00,2024-08-13 23:57:00,28.0,2024-08-12 19:57:00,2024-08-13 23:57:00,0,False,2.7
SHP-000099,BAT-000099,Iași,Romania,Insulated Van,2024-09-27 12:28:48,2024-09-27 20:28:48,8.0,2024-09-27 13:01:48,2024-09-27 21:01:48,33,False,3.3
SHP-000100,BAT-000100,Berlin,Western Europe,Reefer Truck,2024-12-07 17:09:00,2024-12-09 07:09:00,38.0,2024-12-07 17:15:00,2024-12-09 07:15:00,6,False,4.4
SHP-000101,BAT-000101,Bălți Wholesale,Domestic,Ambient Truck,2024-11-25 17:03:00,2024-11-25 22:03:00,5.0,2024-11-25 17:13:00,2024-11-25 22:13:00,10,False,21.7
SHP-000102,BAT-000102,Warsaw,Central Europe,Reefer Truck,2024-10-09 12:43:12,2024-10-10 16:43:12,28.0,2024-10-09 13:23:12,2024-10-10 17:23:12,40,False,3.7
SHP-000103,BAT-000103,Chișinău Local,Domestic,Insulated Van,2024-11-30 14:54:00,2024-11-30 18:54:00,4.0,2024-11-30 15:01:00,2024-11-30 19:01:00,7,False,2.8
SHP-000104,BAT-000104,Berlin,Western Europe,Reefer Truck,2024-11-20 15:55:12,2024-11-22 05:55:12,38.0,2024-11-20 16:25:12,2024-11-22 06:25:12,30,False,2.6
SHP-000105,BAT-000105,Bucharest,Romania,Reefer Truck,2024-10-29 14:47:24,2024-10-30 04:47:24,14.0,2024-10-29 15:38:24,2024-10-30 05:38:24,51,False,4.3
SHP-000106,BAT-000106,Bucharest,Romania,Reefer Truck,2024-10-11 14:45:00,2024-10-12 04:45:00,14.0,2024-10-11 15:48:00,2024-10-12 05:48:00,63,False,3.6
SHP-000107,BAT-000107,Chișinău Local,Domestic,Insulated Van,2024-08-31 19:54:36,2024-08-31 23:54:36,4.0,2024-08-31 19:55:36,2024-08-31 23:55:36,1,False,4.2
SHP-000108,BAT-000108,Iași,Romania,Insulated Van,2024-11-21 21:03:00,2024-11-22 05:03:00,8.0,2024-11-21 22:27:00,2024-11-22 06:27:00,84,False,3.5
SHP-000109,BAT-000109,Chișinău Local,Domestic,Insulated Van,2024-09-09 15:16:12,2024-09-09 19:16:12,4.0,2024-09-09 17:16:12,2024-09-10 05:32:12,616,False,3.4
SHP-000110,BAT-000110,Bucharest,Romania,Reefer Truck,2024-09-05 17:57:36,2024-09-06 07:57:36,14.0,2024-09-05 18:09:36,2024-09-06 08:09:36,12,False,4.1
SHP-000111,BAT-000111,Prague,Central Europe,Reefer Truck,2024-10-12 15:43:12,2024-10-13 23:43:12,32.0,2024-10-12 15:47:12,2024-10-13 23:47:12,4,False,3.3
SHP-000112,BAT-000112,Warsaw,Central Europe,Reefer Truck,2024-12-04 22:00:36,2024-12-06 02:00:36,28.0,2024-12-04 22:50:36,2024-12-06 02:50:36,50,False,3.2
SHP-000113,BAT-000113,Warsaw,Central Europe,Reefer Truck,2024-12-08 17:18:00,2024-12-09 21:18:00,28.0,2024-12-08 17:49:00,2024-12-09 21:49:00,31,False,2.7
SHP-000114,BAT-000114,Bucharest,Romania,Reefer Truck,2025-02-10 23:44:24,2025-02-11 13:44:24,14.0,2025-02-11 00:15:24,2025-02-11 14:15:24,31,True,14.2
SHP-000115,BAT-000115,Chișinău Local,Domestic,Insulated Van,2024-12-16 18:58:48,2024-12-16 22:58:48,4.0,2024-12-16 19:28:48,2024-12-16 23:28:48,30,True,25.2
SHP-000116,BAT-000116,Prague,Central Europe,Reefer Truck,2024-11-03 19:43:12,2024-11-05 03:43:12,32.0,2024-11-03 19:46:12,2024-11-05 03:46:12,3,False,3.1
SHP-000117,BAT-000117,Prague,Central Europe,Reefer Truck,2025-03-25 12:16:48,2025-03-26 20:16:48,32.0,2025-03-25 12:27:48,2025-03-26 20:27:48,11,False,3.5
SHP-000118,BAT-000118,Prague,Central Europe,Reefer Truck,2024-05-31 19:27:36,2024-06-02 03:27:36,32.0,2024-05-31 20:13:36,2024-06-02 04:13:36,46,False,2.8
SHP-000119,BAT-000119,Prague,Central Europe,Reefer Truck,2024-07-25 14:00:36,2024-07-26 22:00:36,32.0,2024-07-25 14:29:36,2024-07-26 22:29:36,29,True,18.9
SHP-000120,BAT-000120,Bălți Wholesale,Domestic,Ambient Truck,2025-03-17 17:31:12,2025-03-17 22:31:12,5.0,2025-03-17 17:31:12,2025-03-17 22:31:12,0,False,18.0
SHP-000121,BAT-000121,Bălți Wholesale,Domestic,Ambient Truck,2024-11-04 13:09:36,2024-11-04 18:09:36,5.0,2024-11-04 13:09:36,2024-11-04 18:09:36,0,False,18.0
SHP-000122,BAT-000122,Prague,Central Europe,Reefer Truck,2024-11-15 20:37:48,2024-11-17 04:37:48,32.0,2024-11-15 21:18:48,2024-11-17 05:18:48,41,False,4.5
SHP-000123,BAT-000123,Chișinău Local,Domestic,Insulated Van,2024-12-28 22:55:12,2024-12-29 02:55:12,4.0,2024-12-28 23:48:12,2024-12-29 03:48:12,53,False,4.3
SHP-000124,BAT-000124,Iași,Romania,Reefer Truck,2024-06-12 15:36:36,2024-06-12 23:36:36,8.0,2024-06-12 15:36:36,2024-06-12 23:36:36,0,False,2.9
SHP-000125,BAT-000125,Warsaw,Central Europe,Reefer Truck,2024-12-07 18:10:12,2024-12-08 22:10:12,28.0,2024-12-07 18:10:12,2024-12-08 22:10:12,0,False,4.3
SHP-000126,BAT-000126,Berlin,Western Europe,Reefer Truck,2024-09-14 22:36:00,2024-09-16 12:36:00,38.0,2024-09-14 23:49:00,2024-09-16 13:49:00,73,False,3.4
SHP-000127,BAT-000127,Brașov,Romania,Reefer Truck,2024-12-08 20:24:36,2024-12-09 12:24:36,16.0,2024-12-08 20:24:36,2024-12-09 12:24:36,0,False,4.5
SHP-000128,BAT-000128,Warsaw,Central Europe,Reefer Truck,2024-11-24 23:00:36,2024-11-26 03:00:36,28.0,2024-11-24 23:00:36,2024-11-26 03:00:36,0,False,3.3
SHP-000129,BAT-000129,Warsaw,Central Europe,Reefer Truck,2024-08-28 16:59:24,2024-08-29 20:59:24,28.0,2024-08-28 17:51:24,2024-08-29 21:51:24,52,False,2.6
SHP-000130,BAT-000130,Warsaw,Central Europe,Reefer Truck,2024-10-25 20:25:48,2024-10-27 00:25:48,28.0,2024-10-25 20:25:48,2024-10-27 00:25:48,0,False,3.3
SHP-000131,BAT-000131,Bălți Wholesale,Domestic,Reefer Truck,2024-07-25 18:19:48,2024-07-25 23:19:48,5.0,2024-07-25 18:22:48,2024-07-25 23:22:48,3,False,3.7
SHP-000132,BAT-000132,Berlin,Western Europe,Reefer Truck,2024-11-11 21:16:12,2024-11-13 11:16:12,38.0,2024-11-11 21:57:12,2024-11-13 11:57:12,41,False,4.0
SHP-000133,BAT-000133,Berlin,Western Europe,Reefer Truck,2024-10-05 15:14:24,2024-10-07 05:14:24,38.0,2024-10-05 17:04:24,2024-10-07 07:04:24,110,False,4.2
SHP-000134,BAT-000134,Bălți Wholesale,Domestic,Ambient Truck,2024-07-23 15:18:00,2024-07-23 20:18:00,5.0,2024-07-23 15:19:00,2024-07-23 20:19:00,1,True,28.6
SHP-000135,BAT-000135,Iași,Romania,Insulated Van,2025-01-27 18:27:36,2025-01-28 02:27:36,8.0,2025-01-27 18:27:36,2025-01-28 02:27:36,0,False,2.7
SHP-000136,BAT-000136,Chișinău Local,Domestic,Insulated Van,2024-10-04 18:22:48,2024-10-04 22:22:48,4.0,2024-10-04 18:57:48,2024-10-04 22:57:48,35,False,3.2
SHP-000137,BAT-000137,Iași,Romania,Insulated Van,2024-12-29 19:22:12,2024-12-30 03:22:12,8.0,2024-12-29 19:40:12,2024-12-30 03:40:12,18,False,3.9
SHP-000138,BAT-000138,Warsaw,Central Europe,Reefer Truck,2024-08-05 12:31:12,2024-08-06 16:31:12,28.0,2024-08-05 12:54:12,2024-08-06 16:54:12,23,False,3.4
SHP-000139,BAT-000139,Chișinău Local,Domestic,Insulated Van,2024-12-01 19:52:48,2024-12-01 23:52:48,4.0,2024-12-01 20:08:48,2024-12-02 00:08:48,16,False,2.9
SHP-000140,BAT-000140,Prague,Central Europe,Reefer Truck,2024-09-01 11:30:00,2024-09-02 19:30:00,32.0,2024-09-01 11:41:00,2024-09-02 19:41:00,11,False,4.4
SHP-000141,BAT-000141,Chișinău Local,Domestic,Insulated Van,2025-01-28 14:41:24,2025-01-28 18:41:24,4.0,2025-01-28 14:52:24,2025-01-28 18:52:24,11,False,3.5
SHP-000142,BAT-000142,Iași,Romania,Insulated Van,2024-10-30 18:53:24,2024-10-31 02:53:24,8.0,2024-10-30 18:53:24,2024-10-31 02:53:24,0,False,3.5
